Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Kia Sportage (Topic Ufficiale - 2010);https://www.autopareri.com/forums/topic/36943-kia-sportage-topic-ufficiale-2010?&page=102#comments;20/01/2011 17:32;greyowl;;Nella stessa concessionaria dove l'ho presa io hanno una 1.7 active con tettuccio panoramico e kit bluetooth + cruise control di colore clyde blue disponibile in pronta consegna a 24.000 euro trattabili. Quasi quasi ci faccio un pensierino... Oppure se vi interessa chiedete e vi dirò dove potete acquistarla in pronta consegna. ;Kia;Sportage;positivo;;;;;;;;;;neutro;;positivo
Che BMW è questa? BMW 507;https://www.bmwpassion.com/forum/threads/che-bmw-%C3%A8-questa-bmw-507.71169/;11/02/2008 00:00;*fefe84*;;"Un saluto a tutti ! ! Sono capitato per caso a far visita alla collezione privata di Umberto Panini ( il ""boss"" delle figurine e non solo... ) a Magreta molto vicino a Maranello. La collezione è composta in massima parte da vetture Maserati ma ci sono anche esemplari di altre ""razze"".C'è anche una BMW: che modello è ? ? ? ";BMW;;neutro;neutro;;;;;;;;;;;
Seat Leon 2013;https://forum.quattroruote.it/threads/seat-leon-2013.73758/;21/01/2013 00:00;Marco.Scarpa;;Ciao a tutti ! Sabato sono andato in concessionaria e l'impressione è ottima. Dalle foto avevo qualche dubbio sugli interni ma vedendo la Style ben accessoriata mi ha convinto. Ho in mano il preventivo del 1.6 TDI DSG full optional ( tranne tetto in vetro e pacchetto pelle ) da 24.000 meno 4.000 circa della mia Ibiza sono 20.000 tondi. Mi hanno fatto circa il 12% di sconto più l'usato. Sono tentato ma molto probabilmente aspetterò la versione a metano per prenderla... ;Seat;Leon;;;positivo;;;;;neutro;;;positivo;;neutro
Fiat Bravo;https://www.bmwpassion.com/forum/threads/fiat-bravo.32580/page-7;24/11/2004 00:00;dot.miglio;"""resto dell'idea che sia + bella vista dal vivo che non in queste foto. quella nera coni cerchi da 18(?) era veramente bella anche dietro!""";anche io oggi sono riuscito a vederla dal vivo anche se +ttosto di corsa esteticamente davanti è davero bella e anche dietro è riuscito a mio parere merita molto di + dal vivo che non vista in foto dove sembrava avere una sproporzione tra frontale e coda ;Fiat;Bravo;positivo;;;molto positivo;;;;;;;;;
3/2: Ordinata... 3/3: Provata in pista... 3/4: Arrivata... BRAVO!!!!;https://www.autopareri.com/forums/topic/22897-32-ordinata-33-provata-in-pista-34-arrivata-bravo?&page=2#comments;05/04/2007 10:22;Ospite;;oltre che sulla 147 lo faccio lo stesso pure sull'idea che ha il blocco del tappo... non sono così scemo da lasciare una macchina con le chiavi dentro mentre vado alla cassa a pagare..... ;Alfa Romeo;147;negativo;;;;;;;;;;;;
Fiat 124 Spider 2016;https://www.autopareri.com/forums/topic/59843-fiat-124-spider-2016?&page=144#comments;16/12/2016 20:01;luca90;;Si comporta come un SUV... per una vettura che dovrebbe essere il massimo del divertimento non mi sembra il massimo. Poi per carità ognuno la pensa diversamente. Il proprietario di un Tiguan quindi può dire di avere una sportivetta sotto il sedere. ;Fiat;124 Spider;positivo;positivo;;;;;;;;;;;
Antinquinamento controllare: fregatura in arrivo?;https://forum.quattroruote.it/threads/antinquinamento-controllare-fregatura-in-arrivo.89748/page-4;24/08/2015 00:00;dariopalma;;"primo ""antinquinamento controllare"" - km25000 ed iniettore e filtro olio sostituiti...450euro...con contributo Renault... dopo due anni a solo 60.000 km nuovamente lo stesso messaggio/errore...ma la macchina va esattamente come prima...benissimo... Mi rode spendere altri soldi per cambiare un iniettore anche perchè credo il problema non sia quello...e i vostri post me lo confermano..sono tentato di andare in Renault e chiedere di spegnermi la spia e stop...cosa ne pensate ? Dite che me lo faranno ? Conoscete qualche concessionario/meccanico ( anche non Renault ) che sappia metterci mano a nord milano... ? ";Renault;;negativo;;;;negativo;;;;;;;negativo;neutro
GPunto 1.6 Turbo;https://www.autopareri.com/forums/topic/17451-gpunto-16-turbo;14/12/2005 21:28;clrchngr;;il 1.6T 180CV arriva prima sulla Opel Meriva OPC che puoi comprare fra 2 settimane. Verrà anche montato sulla nuova Corsa 180CV e sulla Astra ( qui in versione ECO depotenziato ( da quanto non ha detto ) x consumi migliorati ) Essendo lo stesso motore bello e pronto con lo stesso cambio bello e pronto che verrà montato sulla GPunto avrà anche le stesse prestazioni. Allora x la GPunto i 180CV sono sicuri e arriveranno e anche i +200CV non saranno un problema nè dal motore nè dai cambi usati alla fine sarà una questione di marketing. ;Fiat;Grande Punto;positivo;;;;;positivo;;positivo;;;;;
Prova Alfa Romeo 4C;https://www.autopareri.com/forums/topic/52958-prova-alfa-romeo-4c?&page=9#comments;26/09/2013 12:26;TonyH;;Certo che mettere le 156 jtd e le 145 junior e non le 8C spyder ;Alfa Romeo;4C;negativo;negativo;;;;;;;;;;;
MOTORE DCI 1.5 RECORD KM PERCORSI;https://forum.quattroruote.it/threads/motore-dci-1-5-record-km-percorsi.23676/page-3;07/02/2014 00:00;Eldinero;"'Cia io avevo una clio 82cv del 200 ci ho fatto 150.000km ma poi l'ho cambiata per disperazione. Sarà anche un motore che va ""forte"" e non consuma niente ma le componenti le devono aver fatte fare a topogigi ogni mese si rompeva qualcosa '";Forse la tua era fatta a topogigio. ;Renault;CLio;negativo;;;;negativo;;;negativo;;;;;
Alfa Romeo Giulia 2016;https://www.autopareri.com/forums/topic/60616-alfa-romeo-giulia-2016?&page=1019#comments;27/10/2016 17:33;lukka1982;;Mi chiedo come si possa parlare di calo di vendite di un modello appena messo in commercio e che prevede il lancio commerciale nel mercato NAFTA ora. Ufficialmente hanno dichiarato di un rallentamento per adeguamento dell'impianto alla produzione di Stelvio. Tendo personalmente a credere più a questo... ?? ;Alfa Romeo;Giulia;positivo;positivo;;;;;;;;;;;
Euro NCAP - Sessione 08/2007 - Crash Test;https://www.autopareri.com/forums/topic/41298-euro-ncap-sessione-082007-crash-test?&page=4#comments;29/08/2007 12:30;Teknos;;mi sembra quasi che si voglia screditare ( tanto x cambiare ) la regie anche in un campo dove fa bene.....magari sbaglio ma questo è quello che capisco. ;;;neutro;;;;;;;;;;;;
Maserati Levante 2016;https://www.autopareri.com/forums/topic/60515-maserati-levante-2016?&page=93#comments;20/03/2017 18:30;TurboGimmo;;Ma non sembra una kia sembra un buondì su ruote casomai. ;Maserati;Levante;negativo;;;negativo;;;;;;;;;
New Classe S Brabus: 730CV;https://www.bmwpassion.com/forum/threads/new-classe-s-brabus-730cv.15439/;27/10/2003 00:00;Galak200;;BRABUS S V12 S Biturbo 6233 cc 730 hp a 5100 giri 1100 Nm a 2100 giri Accelerazione 0-100 km/h: 4 s 0-200 km/h: 11.9s Velocità max: 340 km/h ;Mercedes;Classe S;neutro;;;;;neutro;;neutro;;;;;
Volkswagen T-Cross 2019;https://www.autopareri.com/forums/topic/66104-volkswagen-t-cross-2019?&page=16#comments;31/01/2019 04:53;Dodicicilindri;;"Notare l'errore ""Mirror Pak"" Quanto viene questa 1st Edition ? ";Volkswagen;T-Cross;neutro;;;;;;;;;;;;
Ecco il nuovo Q5;https://forum.quattroruote.it/threads/ecco-il-nuovo-q5.106360/page-2;10/10/2016 00:00;Lukay;"""Nemmeno a me piace il navigatore modello fung trovo sia molto elegante la soluzione vista prima su A3 (e immagino anche altr ma non mi vengono in mente altri esempi) con lo schermo a scomparsa e mi piacerebbe vederla più spesso negli abitacoli. Per il resto secondo me il nuovo Q5 è molto bello dentro e fuor fermo restando che non sono un grande estimatore dei SUV. Come al solito è più un'evoluzione della specie che una rivoluzion ma le piccole novità introdotte a livello stilistico rinfrescano efficacemente il modello uscente e creano un insieme molto equilibrato. Quello che mi dispiace un po' è il discorso che riguarda la trazione Quattr che se ho capito bene perde il differenziale meccanico anche su questo modello.""";"Anche la soluzione a scomparsa non ha senso imho perchè ormai non si tratta più soltanto del navigatore ma sullo schermo vengono riportate bene o male tutte le funzioni quindi rimarrebbe comunque sempre in vista nella modalità ""fungo"". Per di più si aggiunge un ulteriore meccanismo soggetto a rottura.... ";Audi;Q5;neutro;;positivo;;;;;;;;positivo;;
La mia z4 questa notte ha scapottato da sola sotto la pioggia;https://www.autopareri.com/forums/topic/17215-la-mia-z4-questa-notte-ha-scapottato-da-sola-sotto-la-pioggia?&page=8#comments;07/12/2005 00:29;Matteo B.;;E' il lavoro da fare......perdere anche 10 gg ma revisonartela tutta visto che l'autodiagnosi gli ha detto cosa non andava ? Altrimenti le settimane ci passi prima di capire cosa ha....... ;BMW;Z4;negativo;;;;;;;;;;;negativo;
Fiat Tipo Station Wagon 2016;https://www.autopareri.com/forums/topic/60614-fiat-tipo-station-wagon-2016?&page=6#comments;01/03/2016 09:51;MichD;;Per essere una SW è abbastanza bella. Curioso di vedere gli interni ma dovrebbe vendere bene. ;Fiat;Tipo;positivo;;neutro;positivo;;;;;;;;;
Garanzia sull'usato? Molti dubbi!;https://forum.quattroruote.it/threads/garanzia-sullusato-molti-dubbi.115057/;22/02/2018 00:00;gnpb;;Io penso di no ( ma spero di sì per te ) se la garanzia è data dal concessionario vale solo da loro. Invece se fosse una formula assicurativa Volkswagen allora varrebbe su tutta la rete ( ammesso che tu sia andato in un conce ufficiale ) . Se sei andato invece da un indipendente allora dubito fortemente che tu possa avere un rimborso ( anche se mi auguro di sbagliarmi ) . Insomma devi verificare cosa dice il contratto. ;Volkswagen;;neutro;positivo;;;;;;;;;;;neutro
Alfa 159 SW;https://www.bmwpassion.com/forum/threads/alfa-159-sw.19656/page-9;13/07/2004 00:00;Vegeta330;'Io credo che chi prova un 330ci come il sottoscritto poi si dimentica proprio del diesel... 996 ha scritto: Forza benza. Il diese dopo aver provato la 1 un week end è superlativo. Per un bel turbone che tiri a 7000 non spiace...... 'Forza benza. Il diese dopo aver provato la 1 un week end è superlativo. Per un bel turbone che tiri a 7000 non spiace...';Pensavo pure io cosi' ma dopo aver visto due evo 7 disintegrate nel motore a 40.000Km mi devo un attimino ricredere.... 3Km/litro no ma 5 sicuri. Vabbe' ma con 370Cv cosa pretendi fare. Con M3 non fai nemmeno quelli.... ;BMW;;;;;;;;negativo;negativo;;;;negativo;
Colore Fiat 500;https://www.autopareri.com/forums/topic/24266-colore-fiat-500?&page=2#comments;16/07/2007 15:11;Regazzoni;;A guardarlo bene è esattamente il turchese scuro della 5oo di mia zia l'unica con cui ho avuto modo di viaggiare a lungo. Il colore era questo: Molto molto bene. Anch'io penso che le finiture panna le doneranno molto. Invece qui gli interni rosso/bianco fanno veramente a cazzotti. ;Fiat;500;positivo;;negativo;positivo;;;;;;;;;
Jeep Renegade M.Y. 2018;https://www.autopareri.com/forums/topic/64291-jeep-renegade-my-2018?&page=6#comments;09/01/2018 13:04;Steve 89;;Vabbe hai preso le ultrabase da 10 mila euro in pronta consegna che non si vedono mai su strada dai ?? ;Jeep;Renegade;negativo;;;;;;;;;;;;
Nuova Kia Rio 2011;https://forum.quattroruote.it/threads/nuova-kia-rio-2011.53302/page-66;23/02/2012 00:00;salvenet;;Non è un tagliando ma solo una visione generale dei livelli dell'olio acqua ect ect . Il vero tagliando si paga . Oggi ho portato la mia in officina per cercare di levare i rumori del cruscotto . Vediamo ...quando me la ridaranno ... ;Kia;Rio;neutro;;;;;;;;;;;neutro;
Alfa Romeo Giulia 2016;https://www.autopareri.com/forums/topic/60616-alfa-romeo-giulia-2016?&page=407#comments;29/04/2016 19:43;Ospite;;No aspettate FERMI. Ho una domanda che mi sorge spontanea a questo punto. Se dal 15 si poteva ordinare perchè i listini di oggi sono usciti solo con le diesel e la Quadrifoglio ? Vuol dire che fino a ieri se andavo in concessionaria e gli dicevo che volevo la 2.0 tbi mi mandavano via a calci nè sapevano cosa costasse ? Quindi vuol dire che dal 15 di aprile era aperta l'ordinabilità dei diesel e della sportiva ? ;Alfa Romeo;Giulia;negativo;negativo;;;;;;neutro;;;;;negativo
Come rovinare un prototipo splendido [LANCER 2008];https://www.bmwpassion.com/forum/threads/come-rovinare-un-prototipo-splendido-%1E%1E-lancer-2008.32413/;19/04/2006 00:00;MuCcIo;;orrenda ! http://www.autoblog.it/post/6248/mitsubishi-lancer-2008-eccola ;Mitsubushi;Lancer;negativo;;;molto negativo;;;;;;;;;
(Pi)Maniaci in trasferta;http://www.porschemania.it/discus/messages/815/745060.html?1435591045;29/06/2015 14:50;poniello;;secondo me cappuccetto rosso e la nonna sono nella panza del lupacchiotto al centro ;;;neutro;;;;;;;;;;;;
T-roc cambio DSG;https://forum.quattroruote.it/threads/t-roc-cambio-dsg.117099/;22/08/2018 00:00;gnpb;;Bah io non vedo per quale motivo prendere un automatico per consumare meno non recupererà mai nel tempo il divario di prezzo col manuale ( che peraltro ha bisogno di manutenzione come qualsiasi altro componente dal cambio dell'olio alla frizione e cuscinetto reggispinta ) . Peraltro il 7 marce a secco ( che ho io ) sulla carta consuma sempre ( poco ) meno del corrispettivo manuale ( tralasciando gli eventuali problemi ) . Si prende automatico perché la si usa nel traffico e cambiare azionando la frizione 1000 volte può essere poco divertente tanto poco da farti spendere di più. Meglio di un tetto in vetro a mio parere pur con costi simili. Oppure lo prendi perché ti piace la tecnologia. Oppure lo prendi perché non ti esalta usare la frizione. Oppure lo prendi perché hai un problema fisico. Oppure per moda ( inutile comprarlo se fai solo autostrada ma tant'è ) . Però ti piace manuale ? Prendilo manuale assolutamente l'automatico non farà mai per te. ;Volkswagen;T-Roc;positivo;;;;positivo;;;;;;positivo;;
Chevrolet Corvette Z06 2015;https://www.autopareri.com/forums/topic/53981-chevrolet-corvette-z06-2015?&page=6#comments;08/02/2015 19:48;crabble;;Questione di trazione la GTR fa un tempo migliore per quello e anche di velocità massima infatti nel video ( bellissimo ! ) dicono che hanno tolto l'alettone alla Z06 è più veloce nel dritto ma perde in curva perchè sovrasterza... Più che altro io capisco fino ad un certo punto questo confronto perchè la GTR costa 1/3 in più della Z06. La corvette Z06 con tutti i pack della prova è sui $100.000 la GTR Nismo $160.000. La GT Nismo è una categoria a se stante ;Chrvrolet;Corvette;neutro;;;;;neutro;;;;;;;
Acura ZDX...italiana?;https://forum.quattroruote.it/threads/acura-zdx-italiana.108195/;16/01/2017 00:00;BlackDM;"""E' uno spettacolo. Non capisco da dove venga... Non decifro la targa e manco l'insegna della concessionaria... Medio Oriente? Est Europa?""";Cercando byxapa rimanda ad un sito che dovrebbe essere russo ;Acura;ZDX;neutro;;;;;;;;;;;;
Prova Quattroruote della Civic;https://forum.quattroruote.it/threads/prova-quattroruote-della-civic.110306/page-14;09/05/2017 00:00;biscotto51;;Io sono contento di una cosa: sulla nuova Civic ci solo le tradizionali maniglie senza quelle posteriori incassate nel finestrini della versione precedente che erano un obbrobrio senza pari. Una macchina seria ha sempre le 4 maniglie tradizionali. Quelle posteriori incassate sono da tamarri per me sia chiaro. Come del resto trovavo da tamarri la strumentazione distribuita su due piani come su un razzo spaziale. Per fortuna la Honda ha rimesso i piedi per terra. Inoltre mentre la 1.5 ha la distribuzione a catena Morse ( sempre sia benedetta ) la 1.0 ha la cinghia dentata. Mi cade un mito. ;Honda;Civic;negativo;;negativo;negativo;negativo;;;;;;negativo;;
Fiat Panda Novità al 31/07/2018;https://forum.quattroruote.it/threads/fiat-panda-novit%C3%A0-al-31-07-2018.118045/page-3;10/11/2018 00:00;amicable;;Io dico che se hai soldi meglio se paghi in contanti anche se non ti fanno sconti ulteriori in quanto mettersi nelle mani di queste finanziarie è sempre un po' un'incognita tra penali postille e spese accessorie. Se non ce li ho scendo di livello o di allestimento o compro usato. Ho avuto la bella idea l'anno scorso di acquistare un telefono a rate allettato dal prezzo molto favorevole della compagnia telefonica sottoscrivendo un contratto che mi legava per 30 mesi beh ora che la concorrenza è diventata + agguerrita ed i prezzi sono scesi mi tocca restare fino alla scadenza del pagamento rate con questo operatore che di sconti non me fa più e se recedo mi fa pagare la maxi rata finale ( 290 euro ) ;Fiat;Panda;negativo;;;;;;;;;;;;negativo
Presto sarà mia!!!!!!!;https://www.autopareri.com/forums/topic/25517-presto-sar%C3%A0-mia?&page=2#comments;39374,61885;PaTaTO306;;AHAHAHAHAHHAAHAHAH FANTASTICO ! ! ! ! ! Me la immagino proprio così ! ! ! ! Bellissimo ! ;;;positivo;;;;;;;;;;;;
Fiat 500 M.Y. 2014;https://www.autopareri.com/forums/topic/26165-fiat-500-my-2014?&page=270#comments;07/11/2008 19:04;luc@;;Quella di Forza: ;Fiat;500;neutro;;;;;;;;;;;;
Alfa Romeo Stelvio Quadrifoglio 2017;https://www.autopareri.com/forums/topic/62263-alfa-romeo-stelvio-quadrifoglio-2017?&page=138#comments;01/10/2017 09:23;Savage;;Sembra un marketing non fatto in uffici Italiani in effetti..visto l'assetto di FCA.. ;Alfa Romeo;Stelvio;negativo;negativo;;;;;;;;;;;
Volvo V40 2012;https://www.autopareri.com/forums/topic/46463-volvo-v40-2012?&page=40#comments;02/05/2012 05:51;1happydream;;Configuratore ITALIANO online. Come sempre siamo buoni ultimi ( in EU era gia' disponibile in tutti in Paesi ) . Per una D2 Kinetic con accessori ( cruise telecamera cerchi navi selleria 1/2 pelle cruscotto digitale metallizato etc ) si passano i 30 mila euro. Mi sembrano prezzi vicini alla concorrenza ( A3 Serie1 Classe A dobbiamo attendere ma non sara' molto lontana... ) . E anche la scontistica ( a modello nuovo per tutte ) non sara' troppo dissimile. 1happydream PS Sul configuratore sono presenti piccoli errori di ortografia e di allestimento ( es: confondono il volante a 4 razze con quello a 3 ) ;Volvo;V40;neutro;neutro;neutro;;;;;;;;neutro;;
Lancia Delta Facelift (Topic Ufficiale - 2011);https://www.autopareri.com/forums/topic/27109-lancia-delta-facelift-topic-ufficiale-2011?&page=811#comments;14/01/2010 23:36;Albert82;;Si hai ragione sabato infatti voglio andare così capisco qualcosa di più... Grazie comunque per le risposte... ;Lancia;Delta;positivo;;;;;;;;;;;;
Kia Sportage (Topic Ufficiale - 2010);https://www.autopareri.com/forums/topic/36943-kia-sportage-topic-ufficiale-2010?&page=438#comments;07/04/2011 13:58;gmonte;;I livelli in generale. Col DPF va tenuto sotto controllo l'olio che tende ad aumentare non a diminuire. In questo caso il cambio anticipato effettivamente e' corretto. Ma il 1.7 in particolare e' nuovissimo potrebbe non avere questo problema. Quella del tagliando a 30.000 e' una battaglia che va combattuta subito e da tutti con i conce. Deve saltar fuori il casino se no questi se ne fregano. Qualsiasi problema va immediatamente segnalato a Kia con nomi e cognomi. E' l'unico modo per costringere KIA a diramare una circolare che rimetta definitivamente le cose a posto. Sono convinto che in altri paesi piu' civili i concessionari potendo disporre di un mezzo vincente economico anche nella manutenzione ne farebbero un plus di vendita. Qui invece si inventano le regole per lucrare su qualche tagliando in piu' ;Kia;Sportage;neutro;negativo;;;;;;positivo;;;;neutro;
Ordinata I10!!!;https://forum.quattroruote.it/threads/ordinata-i10.64011/;03/06/2012 00:00;jhonny99;"""Cribbi alla fine ho dovuto ripiegare su una vettura in pronta consegna perchè con questo cavolo di sciopero delle bisarche del mese scorso i piazzali si sono riempiti e la mia cara I10 bianca è ancora sulla nave al largo di Livorno :evil: Comunqu colore a parte (VOLEVO un'auto bianc l'ho presa dark gray) devo dire che sono soddisfatto del nuovo acquisto anche perchè è un allestimento comfor che ha qualche optional utile come il Bluetooth. Cos lunedì sarà immatricolata ed andrà dall'impiantista per il GPL; sabato mattina finalmente il mio battesimo con la Hyundai """;Ciao a tutti ho atteso qualche giorno prima di esprimere le mie prime impressioni ora siamo quasi a 2000 km e sono soddisfatto di consumi ( 370 km con un pieno di GPL ) qualità delle finiture ( assemblate con cura e senza scricchiolii vari.. ) anche visibilità e comfort sono soddisfacenti. La capacità del bagagliaio è sufficente per tutte le mie necessità solo una volta ho dovuto caricare sui sedili posteriori ma avevo fatto un carrello pieno che straripava al supermercato.. :shock: L'unico neo riguarda il motore molto fiacco in ripresa ma forse il mio giudizio è dovuto al fatto che fino a qualche settimana fa guidavo un 1.9 MJet da 150CV ;Hyundai;i10;positivo;;positivo;;;negativo;positivo;negativo;;;;;
Alfa Romeo 147 C’N’C CoSTUME NATIONAL (Foto Ufficiali) [Nuovo Allestimento];https://www.autopareri.com/forums/topic/24751-alfa-romeo-147-c%E2%80%99n%E2%80%99c-costume-national-foto-ufficiali-nuovo-allestimento?&page=17#comments;08/09/2007 11:19;nivomat;;Boh si vede che hanno cambiato idea oppure solo in Italia non è configurabile infatti le griglie di ordinabilità non sono mai state aperte. ;Alfa Romeo;147;negativo;negativo;;;;;;;;;;;
Salvatela o vendetela;https://forum.quattroruote.it/threads/salvatela-o-vendetela.119957/page-50;05/02/2019 00:00;X_BOND;;In realtà anche lo scopo di Giorgio era forse quello della vendita con un'alfa autonoma avrebbero potuti vendere a spezzatino i vari marchi eventualmente tenersi alfamaserati o vendere alfa non solo come marchio e una fabbrica ma con un telaio e un piccolo centro di progettazione autonomo. Ma alla fine la situazione è precipitata in pochissimo tempo in favore di Ev che giorgio penso possa interessare a pochi. Peccato con questi su va avanti solo a stenti.... ;Alfa Romeo;;negativo;negativo;;;;;;;;;;;
