Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
CONSIGLIO SOSTITUZIONE CINGHIA DISTRIBUZIONE;https://forum.quattroruote.it/threads/consiglio-sostituzione-cinghia-distribuzione.103920/;03/09/2016 00:00;DucadiRoma;'altro che 240000 km!!';si infatti i km sono relativi sono anche gli anni che la logorano per il mio 1100 cc dicevano di sostituirla a 120mila . Comunque il prezzo medio da un meccanico o dalla Midas per sostituire pompa acqua cinghia distribuzione e cuscinetti annessi cinghia servizi e' 350 euro. Vale la pena farlo dopo 6 anni. ;;;neutro;;;;;;;;;;;neutro;
Acquistare Renault Zoe da siti o rivenditori esteri;https://www.forumelettrico.it/forum/topic5578.html?sid=9b3d6660a00250109c0902db2fb0b90b;10/05/2019, 9:28;Fabbiiius;'e una kona da 39? nuova con gli incentivi si sta sui 30k. autonomia siamo l se non di più';E' magnifica ma ho paura si vada sopra i 30000;Renault;Kona;positivo;;;positivo;;;;;;;;;
Cee'd 1.4 CRDI;https://forum.quattroruote.it/threads/ceed-1-4-crdi.88661/;22/06/2014 00:00;Revolution_n;'Ho la versione Cool. Sapete dirmi se nelle portiere anteriori ci sono solo i catarifrangenti? Sembra quasi che siano luci ross ma non si accendono mai..... Grazie';Si sono catarifrangenti rossi ;Kia;Cee'd 1.4;neutro;;;;;;;;neutro;;;;
BMW Serie 1 Coupé (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/35280-bmw-serie-1-coup%C3%A9-topic-ufficiale-2007?&page=3#comments;30/06/2007 13:02;Tommitel;;"C'è anche 1 altro discorso da fare: siamo su autopareri. Dato che anche la Bmw Serie 3 coupè qui viene messa in dubbio... non mi stupisco di vedere critiche su critiche non appena la BMW comemtte un mezzo passo falso. A me non dispiace ma so bene che non è un capolavoro estetico... però probabilmente se l'auto fosse italiana... sarebbe condannata con un pò meno ""entusiasmo""... Che poi venda perchè è BMW non m'interessa. Bmw si è costruita un'immagine tale da poter vendere qualsiasi cosa ? Tanto di cappello. Dopodichè aggiungo ancora una volta ( al limite del noioso ) : questa Bmw sembra pensata proprio per gli Usa... dove questo tipo di vetture hanno il loro mercato. Guarda un pò: la Sr1 in USA non c'è ancora... ma debutterà in quel mercato proprio con questa coupè. Coincidenza ? No chiaro. ";BMW;Serie 1 Coupé;neutro;neutro;;;;;;;;;;;
Maledetta egr!!!;https://forum.quattroruote.it/threads/maledetta-egr.117822/;09/08/2018 00:00;NEWsuper5;"""L'originale mi è stato consigliato da tutti i meccanici che conosco:la differenza di prezzo non è tanta 220€ contro 180!!!Sono componenti delicati e potrebbe dare problemi!Ma io aspetto sempre qualcuno che mi dica come escluderla del tutto...magari al rientro delle feriedei frequentatori del forum!!!!! GRAZIE NEW super5e buone vacanze""";Escluderla però ti porterà l'auto fuori omologazione quindi inutilizzabile su strada o passibile di sanzioni in caso di verifiche. Puoi circolare tranquillamente con il climatizzatore o l'autoradio non funzionante ma non con l'impianto del trattamento gas di scarico modificato. ;;;neutro;;;;;;;;;;;;neutro
La mia prima Mercedes-Benz;https://forum.quattroruote.it/threads/la-mia-prima-mercedes-benz.114283/page-3;04/02/2018 00:00;gentle-man;;14 ) 2005 – Saab 9.5 2 3t Linear ;Mercedes_Benz;;neutro;;;;;;;;;;;;
Maserati Quattroporte III Facelift (Topic Ufficiale - 2008);https://www.autopareri.com/forums/topic/29212-maserati-quattroporte-iii-facelift-topic-ufficiale-2008?&page=9#comments;15/07/2008 12:31;Acemmi;;"Vista oggi dall'esterno della vetrina concessionaria Rossocorse di Via dei Missaglia MILANO. Proprio lì vicina c'era pure la versione precedente sempre di ""culo"". Ebbene sui fari mi sono ricreduto i nuovi non sono pacchiani e fanno notevolmente invecchiare i precedenti che finiscono per non sembrare nemmeno più ""classici"" ma proprio superati... Lo specchietto nuovo sta meglio è sicuramente più armonico all'insieme mentre purtroppo dell'anteriore non posso dir nulla ché non l'ho visto. Ah inoltre c'era pure una Enzo mica male ma...quanto azz è *enorme* ? ! ? ! ";Maserati;Quattroporte III Facelift;positivo;;;positivo;;;;;;;;;
Così negli U.S.A. trattano i loro clienti...;https://www.bmwpassion.com/forum/threads/cos%C3%AC-negli-u-s-a-trattano-i-loro-clienti.127620/page-2;06/04/2008 00:00;nivola;"'Visto il tema.... Niente da far da noi imperversa il concetto che se guidi BMW sei uno ""da spennare"".'";"Solo per una notte Bach ? ! /emoticons/biggrin@2x.png 2x"" width=""20"" height=""20"" /> ";BMW;;negativo;;;;;;;;;;;;
Preordini Volkswagen ID a partire da 8 Maggio 2019;https://www.forumelettrico.it/forum/preordini-volkswagen-id-a-partire-da-8-maggio-2019-t5050-50.html?sid=2eee683ecf849a39d8056e7cf69646d6&sid=2eee683ecf849a39d8056e7cf69646d6;ieri, 8:32;emacute;"""Mi pare d'aver letto un diecimil ma tutto da verificare""";Si 10.000 in 24 ore così ha dichiarato VW;Volkswagen;;neutro;;;;;;;;;;;;
M6 Cabrio o V8 Vantage;https://www.bmwpassion.com/forum/threads/m6-cabrio-o-v8-vantage.51414/page-5;20/02/2007 00:00;*Niccolò*;;River qui a Conegliano gira una DB9 Volante BRG.....è stupenda.Perchè non pensi alla cabrio ? ;BMW;M6 Cabrio o V8 Vantage;positivo;;;positivo;;;;;;;;;
la batcaverna 635csi &co;https://www.bmwpassion.com/forum/threads/la-batcaverna-635csi-co.85405/page-250;10/10/2006 00:00;simone72;;a FURIA di rep sono arrivato allo stellone ! ! Incrediiibile ! ;;;positivo;;;;;;;;;;;;
356 del '61 ;http://www.porschemania.it/discus/messages/10550/86160.html?1097523138;10/10/2004 15:13;diego;;"Purtroppo devo rinunciare alla bella pena l'allontanamento dalle mura domestiche. Se a qualcuno interessasse sar\xf2 ben lieto di darvi i riferimenti e le informazioni utili. Per me \xe8 stata una bella occasione per incontrare il ""mondo 356"" e poi chiss\xe0 nel futuro... P.S. Il prezzo penso sia trattabile. Ho guardato nuovamente il numero del motore e cercato di fotografarlo... \xe8 proprio quello che avevo postato all'inizio ! ";Porsche;356;positivo;;;;;;;;;;;;
Quanto pesa il Cayenne?;http://www.porschemania.it/discus/messages/22971/510057.html?1274911364;27/05/2010 00:02;cheffone;;...;Porsche;Cayenne;neutro;;;;;;;;;;;;
Test Drive nuova Honda Civic X;https://forum.quattroruote.it/threads/test-drive-nuova-honda-civic-x.109405/page-17;31/03/2017 00:00;rosmarc;;"sì certo... in linea di massima con i motori honda adoperando alcune accortezze si possono avere consumi ottimi in rapporto a potenza e prestazioni di certo lo saprai già comunque il ""trucco"" è avere il piede delicato guida fluida e cambiare marcia prima dell'entrata della turbina non so di preciso sul 1.5 vtec ma comunque sotto i 2000 meglio se intorno ai 1500/1600 se possibile. ";Honda;Civic X;neutro;;;;;neutro;;;;;;;
Cosa avete in garage oltre la BMW;https://www.bmwpassion.com/forum/threads/cosa-avete-in-garage-oltre-la-bmw.16907/page-7;07/03/2006 00:00;EurOmaN;;ok sn cambiate un pò di cose:lo scooter majesti rimaneil booster l'ho venduto e ho comprato l'aerox di rossil'audi 80 nn c'è + e ora c'è la c3 di mio papàe la 106 di mia mamma e mio frate rimane ;Yamaha, Audi, Citroen, Peugeot;Scooter Majesti, Aerox, Audi 80, Peugeot 106;neutro;;;;;;;;;;;;
Kia Sportage - Ordini e tempi di consegna;https://www.autopareri.com/forums/topic/41594-kia-sportage-ordini-e-tempi-di-consegna?&page=214#comments;13/05/2011 14:05;presidente;;Caro santi mi sà che chi come noi ha effettuato l'ordine a gennaio è rimasto impelagato nelle sabbie mobili........un pò per accontentare chi aveva chiesto il 2 0 un per il cambio gestione. Cmq continuiamo a martellare ........ ;Kia;Sportage;negativo;;;;;;;;;;;;negativo
forse abbiamo trovato la nostra nuova Yaris;https://forum.quattroruote.it/threads/forse-abbiamo-trovato-la-nostra-nuova-yaris.107821/page-3;17/01/2017 00:00;derblume;;ehe si la cruis è molto utile anche per i limiti di velocità ( sopra i 40km/h ) lo uso spesso per questo e nella Prius è pure col radar che mantiene la distanza giusta. ;Yaris;;positivo;;;;;positivo;;;;;;;
986 prima indimenticata passione!;http://www.porschemania.it/discus/messages/502415/537348.html?1293478891;23/12/2010 00:57;blanc_de_blanc;;Lo spirito della 986 ti guider\xe0 per sempre e mai Ti abbandoner\xe0 mitico Fabionoveottosei ! ! ! ! ! ! ! ;Porsche;986;positivo;;;;;;;;;;;;
I difetti delle ns. Honda;https://forum.quattroruote.it/threads/i-difetti-delle-ns-honda.101393/page-6;26/03/2016 00:00;Soichiro1991;'Da quando ho messo le estive (michelin premacy hp) ... Cmq le gomme come già sapev non mi piacciono granché: rendono la macchina molto rigida in cambio di un handling non migliorato rispetto alle invernal come poteva essere lecito aspettars e un rumore di rotolamento addirittura superiore in certe circostanze. Credo che le cambierò prima del fine vita.';Confermo la diagnosi: sono montate di serie anche su Subaru BRZ e Toyota GT86 e Toyota Prius...molto dure di mescola e rumorose + delle invernali bisogna prestare la massima attenzione su bagnato perchè arrivano al limite senza preavviso ! Unico modesto vantaggio: essendo dure riducono un poco i consumi e durano parecchio e sono abbastanza precise nell'inserimento in curva. ;Honda, Subaru, Toyota;Subaru BRZ, Toyota GT86, Toyota Prius ;negativo;;;;negativo;;;;;;;;
Sarà MAI possibile?;https://forum.quattroruote.it/threads/sar%C3%A0-mai-possibile.106762/page-3;28/10/2016 00:00;moogpsycho;"""ragazzi per chiarire il dubbio c'è un unica soluzione. 1) freghiamo l'auto a pigreco 2) montiamo una gopro (la metto io) 3) facciamo una sessione di frenate folli in discesa e poi riconsegnamo l'auto felici e contenti ...""";io direi che è un ottima idea ;;;neutro;;;;;;;;;;;;
Mondiale F.1 2018 - GP del Canada;https://forum.quattroruote.it/threads/mondiale-f-1-2018-gp-del-canada.116850/page-10;11/06/2018 00:00;A-80;"'Concordo e...in onore al tuo Nic vorrei dire che ho visto un Vettel veramente ""ferrarista"" più che mai. Ha dedicato la vittoria a G.Villeneuv vincitore ben 40 anni f e ovviamente a Schum ultimo vincitore con una Ferrari in quel circuito (14 anni fa ha voluto a fine gara una bandiera Ferrari per sventolarla (come fece una volta Alonso in Spagna.... ha cantato incredibilmente l'inno italian e in conferenza stamp con uno sforzo non indifferente sapendo di parlare davanti a milioni di person ha risposto (molto bene) in italiano alle domande di Roberto Chinchero. Un Vettel dunque calato al 100% nel ruolo di pilota Ferrar un Vettel che sta diventando un poco ""italiano addirittura forse più di Schum un ""trascinatore un uomo-squadra. Grazie Seb.'";Quello ch deve fare è questo. Credo sia stato ingaggiato apposta già dal principio. E se va così merita che Raikkonen lo aiuti facendogli da scudiero. ;Ferrari ;;positivo;;;;;;;;;;;;
Torino - Pechino A Bordo Di Una Fiat 500;https://www.autopareri.com/forums/topic/14446-torino-pechino-a-bordo-di-una-fiat-500;26/07/2005 03:39;Autodelta85;;KE bolide mamma mia ! ! ! ! sono sempre + convinto che Giacosa sia stato uno dei + grandi ingegneri di tutti i tempi ! ;Fiat;500;positivo;;;;;molto positivo;;;;;;;
Abarth Grande Punto (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/25060-abarth-grande-punto-topic-ufficiale-2007?&page=24#comments;29/09/2007 11:54;Prestige;;bellissimo questo video Bravo Arcy...ti sei rifatto alla grande ;Fiat;Abarth Grande Punto;positivo;;;;;;;;;;;;
Tergicristalli bloccati Lancia Delta;https://forum.quattroruote.it/threads/tergicristalli-bloccati-lancia-delta.119521/;01/12/2018 00:00;-COBRA-;"""non so se hai presente quanta roba c'è nel circuito dei tergicristall a partire dal devio alla centralina elettronica che fa l'intermittenza fino a tutto quel che c'è nel motorino...""";Quindi dall'elettrauto portandola la metti in diagnostica o fa delle prove che posso fare anche io per capire il problema ? ;Lancia;Delta;neutro;;;;;;;;;;;;
Maserati Ghibli 2013;https://www.autopareri.com/forums/topic/51327-maserati-ghibli-2013?&page=3#comments;09/04/2013 07:29;8coibaf;;Vista la targa questa dovrebbe conservare il v6 con 410hp come sulla quattroporte ( c'è anche il badge q4 vero ? ) e quindi non una versione depotenziata come si leggeva da qualche parte. Si può supporre che il v8 manterrà anche lui i 530 hp ? ;Maserati;Ghibli;neutro;;;;;;;neutro;;;;;
la batcaverna 635csi &co;https://www.bmwpassion.com/forum/threads/la-batcaverna-635csi-co.85405/page-324;17/08/2005 00:00;piccinino;;"quanta differenza c'è tra 323 E21 e 323-325 E30 ? intendo come ""imborghesimento"" quello che lamentano quasi tutti i proprietari di 3er passando da una serie alla successiva ";BMW;323 E21, 323-325 E30;neutro;;;neutro;;;;;;;;;
Mazda 3 2019;https://forum.quattroruote.it/threads/mazda-3-2019.119608/page-4;30/11/2018 00:00;Ax-80;"""A proposito di bagagliai in giro gli sono già state attribuite 3/4 capacità diverse... ovverosia da 295 a 360 lt (con ruotino e non kit che poi quest'ultimo valore dovrebbe proprio essere a ridosso di quello del modello attuale con tuttavia similari ingombri esterni... Uscente: Vedi l'allegato 8781 Nuova (che non so a vo ma a me questo pare più profondo ad es...): Vedi l'allegato 8782 """;"È più profondo ANCHE grazie al ponte. Non so se hai mai visto una megane due volumi...quindi secondo me scontentando noi hanno toccato i tasti giusti della potenziale cliente "" normo critica "". Vedremo i fruttii. ";Mazda ;3;negativo;;negativo;;;;;;;;;;
5 (cinque);https://www.autopareri.com/forums/topic/15134-5-cinque;02/09/2005 03:12;Omphalos;;Ma sei sicuro ? ? Ne prendo una per andare a fare i rally in campagna ;;;neutro;;;;;;;;;;;;
Quale inverter per fotovoltaico in caso di sostituzione;https://www.forumelettrico.it/forum/topic4903.html?sid=9b3d6660a00250109c0902db2fb0b90b;25/02/2019 11:20;alex3000000;'Ho da 10 anni un inverter Fronius IG 30 con circa 30 MWh di energia prodott nessuna manutenzione ne pulizia ad oggi.Senza interfaccia per lo scaricamento dei dati di produzion per cui settimanalmente trascrivo i dati a mano.Da alcune settimane ho notato che alcuni segmenti del diplay non sono attiv per cui mi sto preparando al peggio.Come prima opzione penserei ad una riparazion magar ilegata alle sole saldature del displayCome opzione peggiore penso alla eventuale sostituzione.Cosa mi consigliate di utilizzare nello sventurato caso mi servisse sostituirlo? Sempre che nono sia riparabile se dovesse mollare del tutt ovviamente. Ritengo irrinunciabile una connession meglio se Wireless per il controllo dei dati di produzione.Non so quanto valga la pena pensare a predisposizioni per accumul considerando anche il fatto che ho un ZOE che ricarico frequentemente a bassa potenz sopratutto se la produzione è buona.';Comprati uno Zucchetti che costa poco hai il WiFi ed una garanzia minimo di 10 anni e soprattutto una assistenza presente.Se ti serve ti faccio un preventivo.;;;neutro;;;;;;;;;;;;
linea accessori e nuovi cerchi x brera e 159;https://www.bmwpassion.com/forum/threads/linea-accessori-e-nuovi-cerchi-x-brera-e-159.29798/;09/04/2004 00:00;///M3;;http://www.147virtualclub.it/public/73/scansione0007.jpghttp://www.147virtualclub.it/public/73/scansione0001.jpg http://www.147virtualclub.it/public/73/scansione0002.jpg http://www.147virtualclub.it/public/73/scansione0003.jpg http://www.147virtualclub.it/public/73/scansione0004.jpg http://www.147virtualclub.it/public/73/scansione0005.jpg http://www.147virtualclub.it/public/73/scansione0006.jpg ;Alfa Romeo ;Brera, 159;neutro;;;;;;;;;;;;
Informazioni Lancer Gpl!;https://forum.quattroruote.it/threads/informazioni-lancer-gpl.48040/;19/03/2011 00:00;PIT0NE;;Grazie Roby sarei curioso di sapere per prima cosa che impianto montano le lancer con gpl di fabbrica e di che tipo di impianto si tratta. Poi mi sembra di aver capito che tutte le versioni a benzina possono essere dotate di impianto a gpl giusto ? Tu che modello di lancer hai ? Grazie infinite. ;Mitsubishi;Lancer;neutro;;;;neutro;;;;;;;;
NAVIGATORE SI O NAVIGATORE NO????;http://www.porschemania.it/discus/messages/22971/339212.html?1229419686;39792,49792;peririzzi;;E non si pu\xf2 aggiornare il mio PCM2 ? ;;;neutro;;;;;;;;;;;;
Mondiale F.1 2019 - GP della Cina;https://forum.quattroruote.it/threads/mondiale-f-1-2019-gp-della-cina.122057/page-11;14/04/2019 00:00;Ax-80;'Questa intervista a Vettel evidenzia (forse) come alla Ferrari manchi un sopraffino e super-esperto collaudatore come Raikkonen. Vettel non trova il bandolo della matassa e Leclerc è ancora troppo inesperto per indirizzare lo sviluppo......... https://it.motorsport.com/f1/news/f...ono-cose-della-sf90-non-mi-piacciono/4370508/';Si che si corre fino a dicembre ma sarà meglio che trovino una soluzione perché se no.... ;;;negativo;;;;;;;;;;;;
Cayenne: guardate che interno!!;https://www.bmwpassion.com/forum/threads/cayenne-guardate-che-interno.38693/;23/05/2003 00:00;El Nino;'x quanto riguarda il cayenne... dubbi di non prendere il freno? è una padell non un pedale';http://www.motorpasion.com/2007/03/28-porsche-cayenne-techart-interior-exclusivo-en-piel ;Porsche;Cayenne ;negativo;;;;negativo;;;;;;;;
[risolto] Qual é La Casa Francese Più Innovativa??????;https://www.autopareri.com/forums/topic/1777-risolto-qual-%C3%A9-la-casa-francese-pi%C3%B9-innovativa;05/09/2003 14:14;stev66;;Citroen ! ! ! anche se la Renault 4..... ;Citroen, Renault;;positivo;positivo;;;;;;;;;;;
Come ricaricare ibrida plugin alle colonnine pubbliche;https://www.forumelettrico.it/forum/topic3528.html?sid=9b3d6660a00250109c0902db2fb0b90b;03/09/2018 11:58;marco;;Argomento diviso e spostato nella sezione corretta.Come scritto più sopra bisogna informarsi bene prima e poi pianificare: con l'elettrico è fondamentale fare ciò mentre tu puoi sempre scegliere. Se cominci però a prenderci dimestichezza già adesso il futuro passaggio ad un veicolo 100% elettrico sarà una strada in discesa Riassumendo parti dalla zona dove vuoi ricaricare e poi leggiti bene le colonnine già recensite e cercane altre tramite la app apposite e poi leggiti i funzionamenti dei rispettivi gestori che ti interessano e muoviti per tempo per iscriverti installare e configurare l'app ordinare le card o rfid.;;;neutro;;;;;;;;neutro;;;;
Bmw Roma;https://www.bmwpassion.com/forum/threads/bmw-roma.35372/;09/11/2004 00:00;320 CD M;"""non avevo mai voluto scrivere le mie esperienze ma mi sento in dovere di farlo sarà stato un caso ma a me patriarca non è piaciuto per niente come si è comportato l'unica volta che ci sono andato... ero andato per farmi fare un preventivo per la sostituzione cristallo (avevo l'assicurazione e mi serviva il preventivo prima dell'operazione) ed alla fine mi ha solo detto i prezzi a voce non facendomi il preventivo scritto e dicendomi che quei prezzi non erano certi perché bisognava vedere gli optional dell'auto (avevo con me il libretto dell'aut bastava inserisse il codice del telaio... glie ho chiesto di farlo 3 volte) gli ho chiesto anche un preventivo per installare il gancio traino... di nuovo impossibile avere un preventivo scritto o quanto meno certo sul prezzo ma ci tiene a sottolineare che dopo averlo montarlo sarei dovuto comunque passare da lui per adeguare l'elettronica (ma quando ma il gancio l'ho montato e non c'era da fare nulla all'elettronica)... a quel punto ho salutato da borgognoni (ci sono stato 2 volte in assistenza) sono stati cortesissimi: mi fecero subito il preventivo su carta intestata e senza chiedermi un euro sempre da borgognoni in precedenza mi cambiarono il CCD in garanzia perché ogni tanto faceva difetto sempre senza dire nulla da bmw roma (è la seconda auto che prendo da loro) ancora meglio: sostituzione cristallo con ancora meno soldi ed a domicili comprai il cristallo da loro e mi diedero il numero di pronto vetro che li sostituisce anche a loro :wink: (gli altri due si guardarono bene dal darmi questa dritta) questa settimana sono andato sempre da bmw roma perché la macchina aveva avuto uno strano comportamento (non ero certo al 100% che fosse dovuto alla rigenerazione del FAP)... parlato con il venditore venerdì sera alle 19 (cortesissimo) mi ha detto di passare quando volev martedì pomeriggio (senza appuntamento) ci sono andat mi ha portato in accettazione e lì mi hanno confermato fosse il FAP... io stavo per andarmene e l'accettatore mi ha fatto prendere l'auto e mi ha fatto la diagnosi IMMEDIATAMENTE per sicurezza (senza che io lo chiedessi)... e GRATIS P.S. ho già prenotato il tagliando :wink:""";"Da quando ho la 535d sono stato afflitto da due problemi: il primo è irrisolvibile ed è dovuto al consumo del Viasat che oltre a farmi regolarmente accendere messaggio di attenzione sulla carica della batteria rischia di farmi collassare il sitema elettrico se non accendo la macchina per più di sette giorni.L'altro è un rumore sinistro proveniente dal Cd ( ho il doppio solt CD/DVD ) quando è parecchio caldo rumore attribuibile al servomeccanismo di espulsione. Così visto che sono in scadenza di garanzia sono andato a Bmw Roma dove c'è un capo officina giovane ma bravissimo ( Marco da non confondere con il ben meno preparato Di Marco ) . L'ho messo alle corde dicendogli: ""so che è un problema della E60 io voglio solo sapere se è risolvibile oppure no altrimenti neanche faccio accettazzione"". Lui mi guarda sorridendo e mi risponde: ""bisogna sostituire tutto il sistema 3700 euro ovviamente in garanzia il problema viene risolto ma ciò che importa è che la rumorosità sia ben evidente altrimenti Bmw può non accettare la sostituzione"". Ora ringrazio pubblicamente Marco per la sua sincerità e professionalità. ";BMW;;negativo;;;;;;;;;;;;negativo
