Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Kia Sportage - Problemi riscontrati;https://www.autopareri.com/forums/topic/42134-kia-sportage-problemi-riscontrati;03/03/2011 14:32;Tipografo1971;;se il fruscio si sente oltre i 130 km io non credo che sia un problema tanto di più non è il caso di correre e comunque è normale che lo si senta di più che su una normale berlina proprio per le fattezze dell'auto io ho un Qashqai e un pò lo si sente pure lì ma niente di grave. I problemi seri sono ben altri ( che speriamo di non scoprire mai ) ;Kia;Sportage;neutro;;neutro;;;;;;;;;;
Assistenza Mazda;https://forum.quattroruote.it/threads/assistenza-mazda.108531/page-7;11/05/2017 00:00;elancia75;"""Mi permetto di scrivere a te Elancia molto bonariamente solo per smorzare un po' i toni. A dire il vero a me non sembra che JigenD sia uno di quei lamentini che irrompe in ogni forum a raccontare la sua disavventura. Io sinceramente gli riconosco che delle sue tribolazioni ha scritto raramente e anche molto tempo f visto che nemmeno ricordo il problema tecnico in sé. Non è nemmeno mai stato un critico apriorista del prodotto in s anzi spesso si è speso per difendere il marchio. L'assistenza quella n ma se ha avuto una probante esperienza negativa e perdipiù recent secondo me ha diritto a informarci e anzi di questo io lo ringrazio. A entrambi: di secondo nome non faccio Gandh ma dovremmo essere consapevoli che siamo tutti nella stessa barca e forse è meglio risparmiare le energie per difendere i consumatori e la verit piuttosto che scontrandoci tra clienti. Ovviamente questa è solo la mia opinione ed esperienz il forum è fatto per riportarne anche di divers che è interessante discuter anche accesament ma con rispetto.""";"Nemmeno a me pare un ""lamentini"" come dici... tuttavia mi sembra uno molto permaloso e poco incline a discutere a 360°. Esiste anche un topic che aprii ma vedo che l'abitudine è entrare a piedi pari su chi chiede info per dare un giudizio macchiavellico sul marchio SENZA entrare nel merito nè del problema avuto nè di quando e su cosa sia successo. Scindere il lavoro dell'assistenza dalla tipologia e incidenza dei problemi è impossibile... io ad esempio sono stato contentissimo di Honda ma non credo proprio che l'assistenza i tempi ecc... di Honda siano migliori di Fiat anzi... per l'assistenza consiglierei proprio Fiat e chi è abituato maggiormente a mettere le mani sul motore. Però Honda la consiglio anche se ora qualcosa viene dal Messico ed i motori non li assembla in Giappone come il mio i-ctdi prima serie. Alla fine... chi ha avuto problemi ha diritto a dire che le Mazda sono problematiche ? Imho no così come chi non li ha avuti sbaglia se dice che le Mazda sono assolutamente affidabili. Per correttezza e rispetto invece ognuno ha diritto a riportare in maniera chiara la propria esperienza-caso senza strumentalizzarla per attaccare o costruire teoremi non veri ( un teorema dovrebbe valere per tutti..ed invece per molti/pochi/moltissimi soddisfatti e senza alcun problema nemmeno di diluizione pare non valere ) . Io faccio le corna ( come farei con una Honda o Lexus ) e vado avanti. ";Mazda;;neutro;positivo;;;;;;;;;;positivo;
DIFETTO CARROZZERIA RENEGADE MY 16 NIGHT EAGLE - VOLCANO SAND;https://forum.quattroruote.it/threads/difetto-carrozzeria-renegade-my-16-night-eagle-volcano-sand.107052/;11/11/2016 00:00;sd74Roma;;Certo che trovarsi l'auto nuova completamente riverniciata non è proprio il massimo......da quello che scrivi ritengo che l'unica soluzione che tu avresti valutato positivamente sarebbe stata la sostituzione del veicolo. Prova a mandare una raccomandata RR con le tue richieste al concessionario e per conoscenza al servizio clienti FCA.....credo però che sia quasi impossibile ottenere qualcosa di diverso da quello che ti è stato proposto. Personalmente pur comprendendo le tue ragioni ritengo che dopo tutto il servizio clienti non abbia agito poi così male dopo due mesi dal ritiro un servizio poco attento ai suoi clienti poteva anche risponderti che il problema era stato generato da agenti esterni quando l'auto era parcheggiata in strada sotto casa e non riconoscerti nulla. Io ti consiglierei se il danno è così evidente di farla sistemare.....chiedendo magri un ulteriore cospicuo incentivo...magari 2/3 tagliandi gratis che potrebbero un pochino addolcire la questione. Considera anche che la sostituzione del veicolo è possibile solo quando il produttore non possa ripristinare il mezzo per un suo normale uso e nelle sue condizioni iniziali....e credo che questo non sia il caso. Comunque in bocca al lupo ;Jeep;Renegade;neutro;neutro;;negativo;;;;;;;;negativo;negativo
Info Giulietta 2.0 175 cv;https://forum.quattroruote.it/threads/info-giulietta-2-0-175-cv.119286/;08/11/2018 00:00;fabiovivenzi;;Buongiorno a tutti premesso che sono nuovo sul forum sto valutando l'acquisto di una Giulietta 2.0 diesel da 175 cv del 2016 ( però si tratta del MY 2013 ) . Vi chiedo se tale motorizzazione è identica a quella dell MY 2016 anche in dal punto di vista del cambio TCT oppure se è stata aggiornata con l'ultimo restyling. Grazie ;Alfa Romeo;Giulietta;neutro;;;;neutro;;;neutro;;;;;
GG50;https://www.bmwpassion.com/forum/threads/gg50.16395/;05/03/2005 00:00;lollo666;;Il regalo che si è fatto giorgietto ..... se l'è fatta senza alcuna restrizione proprio come piace a lui.... fortuna ... che se la tenga ... io la trovo orribile... il posteriore mi sembra una alfa... davanti ... beh ... un pò si salva... a me sembra un mix tra la 612 scaglietti alfa 8c e brera .... ;Ferrari;GG50;negativo;;;negativo;;;;;;;;;
Maserati;https://www.bmwpassion.com/forum/threads/maserati.42267/;29/04/2006 00:00;mc 007;;Ieri 25/05 avvistate 2 Maserati nei pressi di Termoli: ;Maserati;;neutro;;;;;;;;;;;;
[Mai nate] Volvo;https://www.autopareri.com/forums/topic/32090-mai-nate-volvo?&page=2#comments;21/11/2011 12:42;Prestige;;lasciatela lì dov'è ;Volvo;;negativo;;;;;;;;;;;;
Ultimo post: dimissioni ed addio...;http://www.porschemania.it/discus/messages/815/640367.html?1360049983;02/02/2013 01:28;mausone46;;ricordo ancora quando ti mandai le foto per la galleria perche non sapevo postarle quoto nel non cambiare l'avatar;;;neutro;;;;;;;;;;;;
FINE DEL MARCHIO ALFA?;https://www.autopareri.com/forums/topic/8281-fine-del-marchio-alfa;28/07/2004 09:33;Abarth03;;D'altra parte se guardi il gruppo VW ha agito proprio in questi termini. Fino a quindici anni fa VW ed Audi erano vendute negli stessi saloni poi autogerma ( credo su direttive della casa madre ) ha imposto la separazione degli showroom. In alcuni casi alcuni concessionari ora vendono solo VW. ;Volkswagen;;neutro;neutro;;;;;;;;;;;neutro
nuova GT opel: per me spettacolo;https://www.bmwpassion.com/forum/threads/nuova-gt-opel-per-me-spettacolo.37901/page-4;19/02/2007 00:00;luigi83;"""è davvero bella questa vettura......(ndr nera è la morte sua).....pur nn avendo il blasone del marchio devo dire che si difende + che bene tra motor prezz interni in pelle rossi e neri....qui a BA devo ancora vederne una Voi l'avete vista in giro? Sapete se 4R l'ha provata....che numero era? E' vero che la capotte è manuale? Salutoni. CAT""";Io preferisco la versione Daewoo:P ;Opel;GT;negativo;negativo;;;;;;;;;;;
Audi RS6 Facelift [Sedan Avant] (Topic Ufficiale - 2007);https://www.autopareri.com/forums/topic/21306-audi-rs6-facelift-sedan-avant-topic-ufficiale-2007?&page=10#comments;08/10/2008 13:25;Touareg 2.5;;Prezzo : ;Audi;RS6;neutro;;;;;;;;;;;;
Alpine A110 2017;https://www.autopareri.com/forums/topic/62768-alpine-a110-2017?&page=42#comments;10/10/2018 11:23;xzzz9097;;È un’auto volutamente sovrasterzante off-throttle al contrario della 4C. Ha un comportamento molto godibile e ben controllabile per un pilota esperto però in situazioni di emergenza come queste i controlli dovrebbero intervenire con più solerzia. ;Alpine;A110;positivo;;;;;positivo;;;;;negativo;;
Honda non vende;https://forum.quattroruote.it/threads/honda-non-vende.111493/page-18;06/09/2017 00:00;elancia75;"""quindi secondo te con questa gamma di modell magari con il 1.0 turbo x tutte e l'ibrido e qualche versione in piu di quanto aumenterebbero le vendite? 10-15 forse 20%?sarebbero cmq numeri piccol sempre sotto l 1% della quota di mercato. honda fa ottime auto che però qui piacciono relativament loro fanno auto perfette per i mercati dove le apprezzan basti vedere il risultato di vendite anche della nuova civic in usa honda ragiona sul fatto che fa auto che vendono in tutto il mondo tranne che in europ il giorno che magari avranno segni di sofferenza in usa o asia magari penseranno a rivedere la gamma e rivaluteranno il difficilissimo mercato europe in effetti a livello aziendale non fa una piega""";E' questa la scommessa che non hanno mai giocato perchè più carne metti sul fuoco più rischi che ti si bruci e butti via soldi se non stai attento a cuocerla bene ( rete vendita + pubblicità ) e trovare chi te la mangia. Loro non credono che calando gli assi e spendendo ulteriori soldi il cliente medio europeo si interessi in maniera proporzionata all'investimento ( come SUBARU ) e si limitano a buttargli ogni tanto qualche salsiccia seppur ottima. Però poi il cliente medio vede un filetto ( magari di pessima carne ) tutto infiocchettato in un barbecue vicino fighissimo ( concessionario premium ) e và là pagando pure qualcosa in più per farsi vedere che mangia il filetto. Capito ? ;Honda;;positivo;positivo;;;;;;;;;;;neutro
Mercedes-Benz Classe C 2014;https://www.autopareri.com/forums/topic/53243-mercedes-benz-classe-c-2014?&page=45#comments;13/01/2015 12:14;crabble;;"Aaaahhh ci ho messo un pò...ma alla fine ho capito perchè ha le cinture rosse ! ...perchè anche la cover del motore è rossa ! ! ! Fanno ""pendant"" la prossima avrà le cinture gialle perchè anche le striscioline dei copertoni da nuovi sono gialle.... Vabbè comunque a parte le cinture e cuciture inguardabili ( sopratutto con quei sedili poltronosi per nulla sportivi ) e il nome il resto è bello molto bella la nuova C sopratutto nera col pack AMG ";Mercedes;Classe C;positivo;positivo;positivo;positivo;;;;;;;;;
Alfa 147 vince 24 0re Misano Adriatico;https://www.bmwpassion.com/forum/threads/alfa-147-vince-24-0re-misano-adriatico.11164/;13/07/2004 00:00;Vegeta330;"Ma AUTO non era quel giornale dichiaratamente tedescofilo con una particolare simpatia per la BMW che in tutti i confronti taroccava i dati rilevati delle alfa e compagnia per far ""vincere"" sempre BMW? :mad: ... B di sicuro non si può accusare Auto di essere nazionalista... Non credo che nessun giornale tarocchi le rilevazion la simpatia per una casa o per un'altra si vede in alcune valutazion quali material finitur ecc. 'Ma AUTO non era quel giornale dichiaratamente tedescofilo con una particolare simpatia per la BMW che in tutti i confronti taroccava i dati rilevati delle alfa e compagnia per far ""vincere"" sempre BMW? :mad: '";Alfa 147 vince 24 0re Misano Adriatico Prestigiosa affermazione dell’Alfa Romeo alla “24 Ore” organizzata dal mensile “Auto” sul circuito di Misano Adriatico l’11 e 12 maggio ’05 che la redazione di infomotri.com trova assai interessante poiché le vetture sono strettamente di serie e lo stress è massimo. L’Alfa Romeo 147 1.6 Twin Spark è risultata la migliore in assoluto nel massacrante test di durata in pista che la rivista specializzata italiana organizza ogni anno per confrontare il livello di affidabilità di resistenza e di prestazioni delle vetture di una determinata categoria in condizioni di massima sollecitazione. I modelli scelti quest’anno tutti rigorosamente di serie erano quelli appartenenti al segmento C in versione sia diesel che benzina con potenze nell’ordine dei 115 cavalli per entrambi i tipi di motorizzazione: 21 vetture in totale al via in rappresentanza di 11 Case automobilistiche affidate alla guida di giornalisti italiani e stranieri e di piloti collaudatori che si sono alternati a rotazione sui vari modelli. Dopo 24 ore di marcia sempre al limite interrotte soltanto dalle soste per i rifornimenti i cambi pilota e i cambi pneumatici forniti dalla Michelin l’Alfa 147 1.6 Twin Spark ha tagliato per prima il traguardo precedendo di 27 secondi la BMW 118d e di 4 giri la Honda Civic 1.6 V-Tec. Per completare l’impresa l’Alfa 147 ha percorso 642 giri pari a 2606 5 chilometri alla media di 108 5 chilometri orari sostituendo solo una volta le pastiglie dei freni anteriori e cambiando tre volte i pneumatici anteriori. Sono stati 626 1 i litri di benzina consumati per una percorrenza media – in condizioni limite – di 4 163 km/litro. La 24 Ore è stata interamente seguita oltre che dalle telecamere di RAI TG2 Motori anche da tre autorevoli riviste specializzate europee: Autocar ( Gran Bretagna ) Autovisie ( Olanda ) e ViBilagare ( Svezia ) . “24 Ore di Auto” - Classifica categoria benzina 1 ) Alfa Romeo 147 1.6 TS 642 giri ( 2606 5 km ) alla media di 108 542 km/h 2 ) Honda Civic 1.6 V-TEC Sport a 4 giri 3 ) Citroën C4 Coupé 1.6 16V a 7 giri 4 ) Toyota Corolla 1.6 VVT-i a 11 giri 5 ) Mazda 3 1.6 16V a 12 giri 6 ) Ford Focus 1.6 Ti-VCT a 13 giri 7 ) VW Golf 1.6 FSI a 15 giri 8 ) Audi A3 1.6 FSI a 16 giri 9 ) Renault Mégane 1.6 16V a 19 giri 10 ) BMW 116i a 21 giri A conferma della straordinaria affidabilità dell’Alfa 147 inoltre la settimana precedente il modello in versione da corsa si è aggiudicato il terzo successo consecutivo nella “24 ore” del Nürburgring nella combattuta “Classe diesel”. Infatti un’Alfa 147 JTD Multijet si è imposta sulle 23 concorrenti della categoria diesel davanti a BMW 330d ( 4 giri ) e VW Bora TDi ( 8 giri ) . Non solo nella classifica generale su 216 partecipanti la stessa vettura ha conquistato un eccellente 13° posto davanti ad auto a benzina alcune anche con più del doppio della potenza. Insomma nelle 24 Ore non ci sono rivali per Alfa 147 ! Infomotori ;Alfa Romeo;147;positivo;positivo;;;molto positivo;positivo;neutro;positivo;;;;positivo;
La Fiat Coupè 20V Turbo di Gimmo;https://www.autopareri.com/forums/topic/46724-la-fiat-coup%C3%A8-20v-turbo-di-gimmo?&page=33#comments;04/04/2012 17:59;sloira;;Da possessore di V6 aspirato confermo. Ero partito convinto per il turbo ho provato diversi Gtv V6 turbo e anche se non sembra perche è molto progressivo il turbo lag c'è. Alla fine ho preso l'aspirato anche se sotto la Spider e 12 valvole:meno rogne e molto più godibile ( soprattutto su un'aperta ) ;Fiat;Coupè;neutro;;;;positivo;;;positivo;;;;neutro;
per chi ha buone mani e sa farsi qualche lavoretto..;https://www.bmwpassion.com/forum/threads/per-chi-ha-buone-mani-e-sa-farsi-qualche-lavoretto.34114/;06/05/2004 00:00;dako;;avendo la somma di investimento iniziale se fossi capace di mettermela a posto da solo non ci penserei 2 volte..http://www.autoscout24.it/ita/detail.asp ? ts=207356.5&id=75046562 ;;;positivo;;;;;;;;;;;positivo;
Salone di Tokio;https://www.bmwpassion.com/forum/threads/salone-di-tokio.16418/;22/01/2004 00:00;Infinity;;Avete visto ciò che si prospetta nel prossimo futuro presentato al salone in oggetto ? ? ? ? ? L'hanno fatto vedere su TG2 motori... veramente bellissime novità. Tante innovazioni che ti porterebbero a cambiare auto una volta al mese La + sconvolgente ? Un'auto ibrida con un motore elettrico inserito su ogni pneumatico ancora in elaborazione ma il prototipo promette bene Cmq un sacco di ibride all'orizzonte ! ;;;positivo;;;;positivo;;;positivo;positivo;;;;
Alfa Romeo - 3.0 M-Jet V6;https://www.autopareri.com/forums/topic/22754-alfa-romeo-30-m-jet-v6?&page=29#comments;11/09/2007 21:33;J-Gian;;Ah beh ! Allora ci vorrà un bel po' di tempo prima di vederlo... A meno che non vi sia una parentela stretta stretta con l'RA630 e 629... ;Alfa Romeo;;neutro;;;;;;;;;;;;
Mazda 6 II Facelift [Sedan Wagon](Topic Ufficiale - 2010);https://www.autopareri.com/forums/topic/36845-mazda-6-ii-facelift-sedan-wagontopic-ufficiale-2010?&page=4#comments;05/05/2010 05:49;Matteo B.;;stai scherzando ? nel 2012 arrveranno gli automatici sul diesel.... @NEt: i cruscottini fighi e il VAGcom vatteli a vedere sulle Audi ;Mazda;6;positivo;positivo;;;;;;;;;positivo;;
Mitsubishi ASX (Topic Ufficiale - 2009);https://www.autopareri.com/forums/topic/36140-mitsubishi-asx-topic-ufficiale-2009?&page=329#comments;08/03/2012 17:24;robiperi;;In effetti ho detto una scemenza: le sospensioni hanno la molla e dentro lo stelo olio e gas. Quelle pneumatiche non hanno la molla ( credo ) . La nostra ha le Mac Pherson all'anteriore ( credo ) e le multilink al posteriore ( credo ) con molle e olio/gas. Ma se tutte le sospensioni con gas dovessero far rumore ... ;Mitsubushi;ASX;neutro;;;;neutro;;;;;;;;
Alfa Romeo Giulia Quadrifoglio 2016;https://www.autopareri.com/forums/topic/58587-alfa-romeo-giulia-quadrifoglio-2016?&page=1194#comments;43090,31242;DarioBi;;Con i pb che ho avuto con serie 3 dei tedeschi non ho tutta sta ammirazione. Quando le Audi A7 prendono fuoco durante i collaudi quando bmw frigge turbine e dpf o quando Porsche vede esplodere i motori delle versioni speciali l’attenzione della stampa è quasi nulla. Ho Giulia da 30 mila km e seppure abbia pochi km sono molto contento. ;Alfa Romeo;Giulia;positivo;positivo;;;;;;neutro;;;;neutro;
Porsche Boxster Spyder 2015;https://www.autopareri.com/forums/topic/58033-porsche-boxster-spyder-2015;01/04/2015 20:09;Closer;;Bella ma in questo caso preferisco la vecchia ancora più fascinosa: ;Porsche;Boxter;positivo;positivo;;positivo;;;;;;;;;
[Retrospettiva] Alfa 33;https://www.autopareri.com/forums/topic/26992-retrospettiva-alfa-33?&page=13#comments;19/02/2008 10:57;stev66;;senza contare che cio' che nel 1988 andava bene ed era ottimo nel 1994 era gia' superato dalla concorrenza. Tan'e' vero che le II serie di Delta II e 145/146/155 che adottavano i PS ed erano sul Tipo II seconda serie andavano molto bene ;Alfa Romeo;33;negativo;negativo;;;negativo;;;;;;;;
Mondiale F.1 - GP d'Australia 2018;https://forum.quattroruote.it/threads/mondiale-f-1-gp-daustralia-2018.115435/page-11;23/03/2018 00:00;ALGEPA;'Pure i vari servizi di streaming non implementavano filtri anti VP poi hanno visto che in tanti fruivano di servizi non disponibili per i loro paesi e si sono dati una mossa. Per 10$ faccio la prova appena lanciano il prodotto.';in effetti credo che l'unica cosa che si possa fare è una prova empirica e vedere se si accede. ;;;neutro;;;;;;;;;;;;
Alfa Romeo 4C;https://forum.quattroruote.it/threads/alfa-romeo-4c.74909/page-126;04/05/2014 00:00;francescovir;;bufalo bic se vai a guardare meglio il telaio dell'huracan e' quasi tutto in alluminio con alcune parti allegerite e rinforzate con la fibra di carbonio.cosi' intendo per la giulia e per le altre sportive del biscione non come la 8c dove la fibbra di carbonio e' parte portante della cattozzeria.non e' una cosa dell'altro mondo e non penso che i costi si eleverebbero chissa' quanto. ;Alfa Romeo;4C;neutro;;;;neutro;;;;;;;;
Dati vendite novembre segmento coupè: cosa pensate dei dati della Brera?;https://www.autopareri.com/forums/topic/20984-dati-vendite-novembre-segmento-coup%C3%A8-cosa-pensate-dei-dati-della-brera;09/12/2006 16:58;TonyH;;C30 Coupè ? ma che è ? carnevale è lontano ! ! ! ;Volvo;C30;negativo;;;;;;;;;;;;
