Titolo;URL;Timestamp;User;(Testo Citato);TESTO;Costruttore;Modello;Sentiment;Brand;Interni;Esterni;Meccanica;Prestazioni;Consumi/Autonomia;Motore;Elettrico;Fuoristrada;Elettronica di Bordo;Manutenzione;Assistenza/Concessionari
Mi presento a breve possessore di una C0;https://www.forumelettrico.it/forum/topic5563.html?sid=9b3d6660a00250109c0902db2fb0b90b;ieri, 22:44;giampiero;'giampiero ha scritto:Benvenuto! Stessa situazione qui (a parte che la consegna della nostra C-Zero era prevista da un pezz ma siamo ancora in attesa senza indicazioni a riguardo). Congratulazione per l’acquisto... e speriamo bene per entrambi! io l`ho presa da in concessionario in Abruzzo (sono di Roma) perchè a differenza da quelli con cui ho preso contatto (telefonico) qui su Rom ne avevano una a disposizione superaccessoriata (ahimè) in pronta consegna. Considera che pagherò 250€ in più per avere la consegna su Rom ma direttamente a casa mia 'Benvenuto! Stessa situazione qui (a parte che la consegna della nostra C-Zero era prevista da un pezz ma siamo ancora in attesa senza indicazioni a riguardo). Congratulazione per l’acquisto... e speriamo bene per entrambi! ';Se ho capito bene lo sconto di 12000 euro ( o di 10000+supervalutazione usato ) è stato valido per pochi giorni e solo ed esclusivamente sulle C-Zero disponibili. Infatti noi l'abbiamo presa una quarantina di Km da casa perché lì ne avevano una in arrivo anche questa accessoriata ( beep pedoni safety box controllo remoto sedile riscaldato. Fondamentale per me il controllo remoto ) . A fine aprile nel canale di distribuzione ne avevano solo 3 almeno a detta di altro concessionario. Infatti pare che ne siano state vendute solo 16 ad aprile - se ho letto bene in altro post. A mio avviso poche con un super prezzo del genere ma magari molti sono spaventati dall'autonomia ridotta e dalla lentezza della ricarica. Non saprei. Fino a un mese fa le poche vendite secondo me erano dovute al prezzo altissimo per questa EV a mio avviso.Crepi il lupo ! Io avevo appuntamento per il ritiro oggi pomeriggio ma sono bloccato a letto.Giampiero;Citroën;C-Zero;neutro;;;;;;;;;;;;neutro
Brera 2.2 JTS;https://www.bmwpassion.com/forum/threads/brera-2-2-jts.21143/page-5;12/12/2004 00:00;Twin Spark;;Gente mi stupiso di quei consumi. con la s3 facevo 500 km abbondanti... ;Alfa Romeo;Brera;negativo;;;;;;negativo;;;;;;
Uscita la Macan GTS!!;http://www.porschemania.it/discus/messages/771175/756475.html?1450620294;02/11/2015 10:56;kpnaz;;Ciao Virgilio senza dubbio ! Se una S viene configurata con un po' di optional la gts diventa anche pi\xf9 conveniente. Avevo provato a configurare una Cayman gts bella accessoriata e mi costava meno della S.... Infatti l'unica cosa che mi pare strana \xe8 che con Macan la GTS sia uscita piuttosto presto col rischio di cannibalizzare la S. Ero convinto uscisse l'anno prossimo anche perch\xe9 le riviste di uscita imminente non ne parlavano;Porsche;Macan;neutro;;;;;;;;;;;;
Aston Martin Cygnet 2009;https://www.autopareri.com/forums/topic/34127-aston-martin-cygnet-2009?&page=2#comments;29/06/2009 14:11;Zampo;;"non dico sia bella o meglio della iQ ma non ci vedo niente di male in questa nuova ""idea"". Muoversi con stile in città per certe persone è un ""must"" e muoversi con una DB9 può anche essere scomodo tra ciotoli parcheggi stretti e sportellate in agguato. Ecco allora che una micro car di super lusso e magari pure un po' pepata diventa un nuovo modo ""ecologico"" di muoversi e apparire al tempo stesso. Meglio della Mini oserei dire basta che sia all'altezza di AM come contenuti fattura e pure stile si spera... ";Aston Martin;Cygnet;positivo;;neutro;neutro;;positivo;;;;;;;
Le novità Fiat a Ginevra;https://forum.quattroruote.it/threads/le-novit%C3%A0-fiat-a-ginevra.121468/;27/02/2019 00:00;pilota54;'Lasciamo perdere le versioni “120” ma la nuova pand ancorché solo come concept mi pare una notizia interessante';"Si la vera novità sarà la nuova Panda concept ( ottica 2021 per quella definitiva ) . Mi è arrivato oggi Quattroruote e c'è un ampio articolo con due rendering uno 3/4 ant. e uno 3/4 post. ( QR stesso conferma che si tratta di un azzardo ma sembra che le linee siano più o meno quelle ) . Tra qualche giorno sapremo esattamente come sarà. Il bozzetto di Quattroruote è molto interessante e ""particolare"" una vettura che non somiglia a nessuna tra quelle esistenti se non solo a grandi linee alla Panda stessa. Sarà un po' più grande dell'attuale e avrà contenuti innovativi. ";FIAT;Panda;positivo;;;positivo;;;;;;;;;
Bmw serie 1 2019 : l'abbandono della TP è una tragedia?;https://forum.quattroruote.it/threads/bmw-serie-1-2019-labbandono-della-tp-%C3%A8-una-tragedia.110592/page-6;24/05/2017 00:00;elancia75;"""Che abbia 120 cv o n una t se guidi un po' spigliat te ne accorgi della differenza con una ta. Io spero che chi compri bm alfa o altri marchi sportivi ogni tanto qualche curva e controcurva se la concedono (sempre nel rispetto del cds) sennò compratevi la tipo che va benissimo. La guida è fatta di sensazioni che vanno oltre le prestazioni pure. Per fare il paragone col vin la serie 1 attuale è del migliore vino di quelle famose bott solo che anziché una bottiglia è solo un paio di bicchieri. Perché privarsene al posto di una pinta di birr che buona che si non avrà mai a che vedere con un buon vino?""";"Vallo a dire a uno di Monaco ! Io dico che a molti ""piloti"" in 116d se fai provare la M4 sovvengono sensazioni un pò diverse... è come far sentire un Barolo d'annata a chi non l'ha mai bevuto e si sente un sommelier ( e magari conosce solo la birra DREHER ) . Poi per carità non dico assolutamente che la 1er sia un Tavernello anzi è un buon vino... ma in BMW han deciso di tenere solo il Barolo d'annata. P.S. anch'io presa la Impreza D credevo di avere in mano un'arma tipo la WRX o la STI perchè anch'essa S-AWD Boxer quadro longitudinale permanente ecc... ma così non è. E ha 150cv e 4 cilindri. ";BMW;Serie 1;positivo;;;;;;;;;;;;
Alfa-Maserati;https://www.autopareri.com/forums/topic/15535-alfa-maserati?&page=5#comments;20/09/2005 03:50;Betha23;;Cmq le robotizzate di nuove generazioni cambiano più in fretta del manuale ! ;;;positivo;;;;molto positivo;;;;;;;;
Alfa Romeo Giulia 2016;https://www.autopareri.com/forums/topic/60616-alfa-romeo-giulia-2016?&page=1441#comments;06/07/2018 06:48;KimKardashian;;Scusate una domanda un po fuoriluogo ma adotteranno Giulia e Stelvio un infotainment touch ? Non so forse con le restyling e le LWB ? ;Alfa Romeo;Giulia;neutro;;;;;;;;;;neutro;;
Napoli docet ....;http://www.porschemania.it/discus/messages/815/845587.html?1543447607;08/11/2018 07:49;fab45;;gulp gasp sob cca nisciuno e' fess\x85...;;;neutro;;;;;;;;;;;;
Audi A5;https://www.bmwpassion.com/forum/threads/audi-a5.35660/page-8;23/08/2004 00:00;mamo;"""Mam ma credi veramente che l'A5 3.2 costi di più di una A6 3.2 FSI Avant quattro Tiptronic? Suvvia... La 2.0 TFSI costerà 35000€""";voglio i prezzi ;Audi;A5;neutro;;;;;;;;;;;;
NUOVA POLO 2018 RITARDO PRODUZIONE;https://forum.quattroruote.it/threads/nuova-polo-2018-ritardo-produzione.116653/;24/05/2018 00:00;giuliogiulio;'buongiorno a tutt sono nuovo in questo sito. A fine marzo comprai la mia nuova polo comfortline e mi è stata fissata la produzione per il 15 giugn informandomi con il mio venditore di recente mi disse che la produzione è slittata al 15 agosto (i 60 giorni previsti dal contratto). Qualcuno ha avuto problemi di ritardi? e se s li hanno rispettati? Grazie.';ciao e benvenuto...se dai un'occhiata ai vari post ti renderai conto di essere in buona compagnia...due strade. Restituzione della caparra ( doppia ) e cambio di modello o armati di ( molta ) pazienza... ;Volkswagen;Polo;neutro;;;;;;;;;;;;negativo
Cosa succede ad un motore quando gira senza olio?;https://www.autopareri.com/forums/topic/62976-cosa-succede-ad-un-motore-quando-gira-senza-olio?&page=2#comments;10/04/2017 16:16;Delta Force;;"...sono almeno 15 anni e oltre che ( a parte rari casi ) i cruscotti sono diventati ""muti""...già agli albori di internet leggevo sui forum lamenti e nostalgia dei cruscotti anni '70/'80 che oltre ad essere belli da vedere ( 124 Sport Spider Ritmo 125/130 Uno turbo i.e. e turbo ds 205 GTI Delta Int. ecc. ) salvavano qualche motore...almeno sulle sportive più ""hot"" ci starebbe bene qualche manometro in più ben vengano l'Abarth 595 e le focus ST ed RS che qualche lancetta ""del piacere"" ancora la montano... ";;;neutro;;;;;;;;;;;;
Giulia _ sistema forward collision warning non disponibile;https://forum.quattroruote.it/threads/giulia-_-sistema-forward-collision-warning-non-disponibile.110810/page-2;28/06/2017 00:00;arizona77;'i teteski non arrivano per prim ma son bravi a...razionalizzare il lavoro altrui ben venga';"Beh....magari proprio Averne di "" razionalizzatori "" cosi'.... https://it.wikipedia.org/wiki/Economia_della_Germania ";Alfa Romeo;Giulia;neutro;;;;;;;;;;;;
OT AUGURI!;https://forum.quattroruote.it/threads/ot-auguri.73179/;24/12/2012 00:00;matteomatte1;;a voi ed ai vostri cari tanti AUGURI ! di Buone Feste ! ;;;neutro;;;;;;;;;;;;
Volkswagen Golf VI (Topic Ufficiale - 2008);https://www.autopareri.com/forums/topic/29826-volkswagen-golf-vi-topic-ufficiale-2008?&page=89#comments;25/04/2009 10:26;ANTO 29/06/81;;"Io ce l'ho 5 porte anche se esteticamente mi piace di più a tre perchè è più "" cattiva"" però le 5 sono troppo comode ! Soprattutto quando piove e hai gente seduta dietro che deve scendere ! ";Volkswagen;Golf;positivo;;;molto positivo;;;;;;;;;
scoop 159GTA;https://www.bmwpassion.com/forum/threads/scoop-159gta.29597/page-2;12/12/2004 00:00;Twin Spark;;http://autopareri.altervista.org/phpBB2/viewtopic.php ? t=425&postdays=0&postorder=asc&start=105su autopareri anke c'è un dibatitto v6biturbo vs aspirato...nn si riesce a giungere a una conclusione...addirittura c'è ki dice ke potrebbe essere un v8 maserati cn 2 cilindri nn funzionanti ( mancanza delle candele ) + turbina...x la sperimentazione di un v6 turbo o biturbo derivato dal v8 maserati e nn dal v6 holden...mhà... ;Alfa Romeo;159;neutro;;;;;;;neutro;;;;;
Porsche 911 Carrera 4 e Carrera 4S 2012 [Coupé Cabriolet];https://www.autopareri.com/forums/topic/48444-porsche-911-carrera-4-e-carrera-4s-2012-coup%C3%A9-cabriolet?&page=4#comments;27/08/2012 16:43;poliziottesco;;"Meravigliosa ! Certo che vedendo queste foto non posso che continuare a pensare che la 911 in versione cabrio non mi e' mai piaciuta e continua a non piacermi nonostante riconosca che giochi un ruolo fondamentale in certi mercati. Curioso di verede la ""targa"" ";Porsche;911;positivo;;;molto positivo;;;;;;;;;
Museo Alfa Romeo: finalmente il TAR ha respinto il vergognoso ricorso contro il vincolo.;https://forum.quattroruote.it/threads/museo-alfa-romeo-finalmente-il-tar-ha-respinto-il-vergognoso-ricorso-contro-il-vincolo.49441/page-155;10/10/2012 00:00;sebaco;"fpaol68 ha scritto: sebaco ha scritto: Mauro 65 ha scritto: Corazon Habanero ha scritto: L'istanza di prelievo era più che giustificat ma non l'hanno voluta depositare.... Scusa la domanda (che forse mi sono perso qualche cosa ma i vari club alfisti avrebbero potuto (o potrebbero) costituirsi come ""interessati resistenti"" (perdona la terminologia sicuramente inesatta) nel procedimento?... Potrebber ma come portatori di un interesse di fatt la loro posizione resterebbe subordinata a qualla delle parti principali del giudizio (ricorrente e amministrazione resistente). Di conseguenza non potrebbero compiere alcun atto di iniziativa processuale (istanze di prelievo o altro) al di là dell'atto di intervento a sostegno delle ragioni della parte resistente.... Quindi in sostanz o si muove fiat o il procedimento resta affossato sine die?... Non sine di fino all'estinzione per perenzione (1 anno dal deposit se non è stata richiesta fissazione dell'udienz mentre in caso la richiesta sia stata fatt dopo 5 anni dalla data di deposito del ricorso è neccessario rinnovarl altrimenti è dichiarata la perenzione. Ti risparmio gli altri dettagli procedurali). Comunqu n non è solo Fiat che può muoversi. L'istanza di prelievo potrebbe essere presentata anche dall'amministrazione resistente. Ma perchè dovrebbe farlo?... Ma quindi il procedimento dovrebbe essere già estinto visto che è passato più di un anno da deposit ho visto che l'ultimo atto risale al maggio 2011. O mi sbaglio? ' fpaol68 ha scritto: sebaco ha scritto: Mauro 65 ha scritto: Corazon Habanero ha scritto: L'istanza di prelievo era più che giustificat ma non l'hanno voluta depositare.... Scusa la domanda (che forse mi sono perso qualche cosa ma i vari club alfisti avrebbero potuto (o potrebbero) costituirsi come ""interessati resistenti"" (perdona la terminologia sicuramente inesatta) nel procedimento?... Potrebber ma come portatori di un interesse di fatt la loro posizione resterebbe subordinata a qualla delle parti principali del giudizio (ricorrente e amministrazione resistente). Di conseguenza non potrebbero compiere alcun atto di iniziativa processuale (istanze di prelievo o altro) al di là dell'atto di intervento a sostegno delle ragioni della parte resistente.... Quindi in sostanz o si muove fiat o il procedimento resta affossato sine die?... Non sine di fino all'estinzione per perenzione (1 anno dal deposit se non è stata richiesta fissazione dell'udienz mentre in caso la richiesta sia stata fatt dopo 5 anni dalla data di deposito del ricorso è neccessario rinnovarl altrimenti è dichiarata la perenzione. Ti risparmio gli altri dettagli procedurali). Comunqu n non è solo Fiat che può muoversi. L'istanza di prelievo potrebbe essere presentata anche dall'amministrazione resistente. Ma perchè dovrebbe farlo? ' sebaco ha scritto: Mauro 65 ha scritto: Corazon Habanero ha scritto: L'istanza di prelievo era più che giustificat ma non l'hanno voluta depositare.... Scusa la domanda (che forse mi sono perso qualche cosa ma i vari club alfisti avrebbero potuto (o potrebbero) costituirsi come ""interessati resistenti"" (perdona la terminologia sicuramente inesatta) nel procedimento?... Potrebber ma come portatori di un interesse di fatt la loro posizione resterebbe subordinata a qualla delle parti principali del giudizio (ricorrente e amministrazione resistente). Di conseguenza non potrebbero compiere alcun atto di iniziativa processuale (istanze di prelievo o altro) al di là dell'atto di intervento a sostegno delle ragioni della parte resistente.... Quindi in sostanz o si muove fiat o il procedimento resta affossato sine die? ' Mauro 65 ha scritto: Corazon Habanero ha scritto: L'istanza di prelievo era più che giustificat ma non l'hanno voluta depositare.... Scusa la domanda (che forse mi sono perso qualche cosa ma i vari club alfisti avrebbero potuto (o potrebbero) costituirsi come ""interessati resistenti"" (perdona la terminologia sicuramente inesatta) nel procedimento?... Potrebber ma come portatori di un interesse di fatt la loro posizione resterebbe subordinata a qualla delle parti principali del giudizio (ricorrente e amministrazione resistente). Di conseguenza non potrebbero compiere alcun atto di iniziativa processuale (istanze di prelievo o altro) al di là dell'atto di intervento a sostegno delle ragioni della parte resistente. ' Corazon Habanero ha scritto: L'istanza di prelievo era più che giustificat ma non l'hanno voluta depositare.... Scusa la domanda (che forse mi sono perso qualche cosa ma i vari club alfisti avrebbero potuto (o potrebbero) costituirsi come ""interessati resistenti"" (perdona la terminologia sicuramente inesatta) nel procedimento? ""L'istanza di prelievo era più che giustificat ma non l'hanno voluta depositare.""";Non penso. Normalmente quando viene depositato il ricorso si presenta anche l'istanza per la fissazione dell'udienza di discussione. E' la prassi. Quindi è improbabile che il ricorso si sia estinto per perenzione. Dove hai visto che l'ultimo atto risale a maggio 2011 ? ;Alfa Romeo;;neutro;;;;;;;;;;;;
Test Octavia al buio;https://forum.quattroruote.it/threads/test-octavia-al-buio.112645/;06/10/2017 00:00;gbortolo;;Notare: Uno ha detto Audi l'altro Mercedes ;Skoda;Octavia;neutro;;;;;;;;;;;;
Fareste la pazzia?;https://www.bmwpassion.com/forum/threads/fareste-la-pazzia.38261/page-2;23/05/2003 00:00;El Nino;'Nin lascia star punta direttamente a un 355!! Rossa o ner decidi tu ma rimaniamo in italia!! ';Intanto la Nsx-R è un'altra cosa e molto più recente. E' come dire che un 997 GT3Rs è uguale al 997 liscio: col cavolo che sono uguali.E poi il 430 lasciatelo stare forse non avete le idee chiare di quanto vada. Un 964Rs ad esempio va più di una NSX eppure erano coeve quindi ti potrei dire che già ai tempi c'erano macchine meno potenti ma più prestazionali.Magari globalmente l'NSX è più veloce di un 348 ma già con un 355 la vedo male la differenza di motore da sola è spaventosa e anche come dinamica è due generazioni avanti al 348.Diamo a Cesare quello che è di Cesare cioè che l'NSX è stata una macchina che ha fatto storia e ottimamente costruita. Ma certi paragoni con le sportive odierne lasciamoli perdere. Anche perchè non so qua dentro quanti siano quelli che conoscono così bene l'NSX da poter fare certe affermazioni. ;Honda;NSX;neutro;;;;;neutro;;;;;;;
Mitsubishi ASX (Topic Ufficiale - 2009);https://www.autopareri.com/forums/topic/36140-mitsubishi-asx-topic-ufficiale-2009?&page=41#comments;15/09/2010 13:21;zag;;Mitsubishi ASX | alVolante a chi interessa... io non l'ho ancora visto... ;Mitsubishi;ASX;neutro;;;;;;;;;;;;
Ri Lanciare Lancia?;https://forum.quattroruote.it/threads/ri-lanciare-lancia.118140/page-11;09/09/2018 00:00;pilota54;;A conferma che le utilitarie Fiat all'epoca venivano considerate imbattibili. Mio suocero adorava la 128. Intorno al 1985 dopo aver posseduto per alcuni anni una Skoda ( mi pare la 110 ) ne comprò una usata blu notte ( da usare tutti i giorni ) in perfette condizioni. La usò fino a quando passò a miglior vita. ;FIAT;128;positivo;;;positivo;;;;;;;;;
Valutazione c3;https://forum.quattroruote.it/threads/valutazione-c3.111838/;24/08/2017 00:00;parnomio;;Grazie dei consigli volevo appunto capire il prezzo medio. Valutazioni su internet sono veramente differenti partono da 2000 fino a certi 6000. In pratica non ne ho la più pallida idea Credo sia veramente difficile darne una valutazione giusta ( per me ovviamente ) . ;Citroën;C3;neutro;;;;;;;;;;;;
Finalmente Giulia;https://forum.quattroruote.it/threads/finalmente-giulia.106189/page-6;28/09/2016 00:00;shendron;"'La Giulia ad esempio non la conosco e quindi mi limito solo a dire che spero da italiano che segni la rinascita del marchio Alfa e se così sarà magari fra tre anni con una versione station potrebbe essere la mia prossima auto.Ad oggi però non investirei mai 50.000 euro per acquistarla dato che mancano troppi accessori presenti su utilitarie di serie e dato che ci sono troppe incognite sulla bontà del progett inteso come affidabilità motore qualità degli interni e cosa più importante di tutt tenuta del valore nel tempo.Insomma non mi andrebbe di fare da cavia.Chiuso discorso. ""La Giulia io non l'ho provat ma provenendo da una bmw (che non è l'ultima arrivata in quanto a piacere di guida posso senza dubbio affermare che limitandomi alle versioni quattro vs xdriv questa nuova a4 è due spanne sopra alla bmw come handling e tenuta.La trazione quattro su strada batte xdrive 4 a 0 a tavolino.Insomma prestazioni allineat trazione top tra le integrali crucch interni da top clas tecnologia di bordo idem il tutto con consumi sbalorditivi.Alfa poi sul giro da un secondo e mezzo a tutte le altre?....ok credo che sopravviverò lo stesso a questa notizia.""";"Premessa: A4 è una macchina validissima in quanto ben rifinita e affidabile e con valore garantito nel tempo ma... per essere precisi potresti elencare i ""troppi"" accessori che mancano su AR Giulia e che sono di serie su utililitarie ? Non mi pare del tutto fondata questa affermazione. Faccio notare che nessuno dico nessuno degli accessori per la sicurezza attiva di ultima generazione sono presenti di serie su A4. Per renderla ""tecnologica"" si arriva senza colpo ferire a 60.000 euro e mancarebbero altre cose. Ti sembra ""normale"" ? ? A me non molto. La Giulia all inclusive sta sui 50.000 Mah... motore longitudinale a sbalzo distribuzione dei pesi non ottimale come su BMW. Ho seri dubbi che la Quattro vinca 4-0 sulla X-drive. mi sembra evidente che lo schema tecnico Bmw sia più equilibrato <img alt=""a4.jpeg"" class=""bbCodeImage LbImage"" src=""https://forum.quattroruote.it/attachments/a4-jpeg.524/""/> <img alt=""3er.jpg"" class=""bbCodeImage LbImage"" src=""https://forum.quattroruote.it/attachments/3er-jpg.525/""/>";Alfa Romeo;Giulia;positivo;;;;;;;;;;positivo;;
