Titolo,URL,Timestamp,User,(Testo Citato),TESTO,Costruttore,Modello,Brand,Interni,Esterni,Meccanica,Prestazioni,Consumi/Autonomia,Motore,Elettrico,Fuoristrada,Elettronica di Bordo,Manutenzione,Assistenza/Concessionari
Cercando un' elica mi sono imbattuto in una stella,https://www.bmwpassion.com/forum/threads/cercando-un-elica-mi-sono-imbattuto-in-una-stella.41540/,2004-12-26 00:00:00,resunoiz,,Sò che molti di voi non condivideranno la mia scelta ma....mentre ero alla ricerca della mia bella bmw mi sono imbattuto in qualcosa che mi piaceva da tempo e che migliorata internamente con il restyling non ho esitato ad acquistare....La macchina in questione è una Classe C SportCoupè 220 Cdi 150 cv Sport Edition Avantgarde con navigatore e pelle di serie Siamo andati alla mercedes con mia madre per acquistare la sua Classe A coupè ed io girando per il salone mi sono soffermato a guardare lo sportcoupè... Il pre-restyling mi piaceva esternamente ma internamente non mi appagava affatto ora il restyling ha compensato nettamente l'esterno è migliorato leggermente e internamente è un altro pianeta.... Poi l'ho preso grazie ad un nostro amico che mi ha fatto un prezzaccio e quindi sono doppiamente contento...Ma Bmw stà sempre nel mio cuore soprattutto ora che mio fratello vorrebbe prendere una bella X3...bè vedremo... e ora via con le critiche ! ! ! ! ,,,,,,,,,,,,,,
Porsche Taycan: primi disegni ufficiali della berlina elettrica - HDmotori.it,http://www.hdmotori.it/2019/03/15/porsche-taycan-foto-berlina-elettrica-data-uscita/,2019-03-16 10:02:00,Aristarco,,marketing tetesco,,,,,,,,,,,,,,
La mia prima Bmw (Buon Compleanno!),https://forum.quattroruote.it/threads/la-mia-prima-bmw-buon-compleanno.115148/page-7,2018-03-31 00:00:00,giorgiotoffa77,'Devi passare per la N . Schiacci bottincino e due volte su ',Grazie tante gentilissimo ! ! Quindi mia moglie aveva ragione quando ieri senza nemmeno guardare la leva mi ha detto che era ovvio fosse così come dici tu... Buona Pasqua ! ,,,,,,,,,,,,,,
consiglio a inesperto per acquisto auto nuova (suv crossover),https://forum.quattroruote.it/threads/consiglio-a-inesperto-per-acquisto-auto-nuova-suv-crossover.122187/,2019-04-15 00:00:00,Ax-80,,Ti.consiglio karoq o honda hrv con la cosa che la seconda ci esce la prima forse è più cara. ,,,,,,,,,,,,,,
Finalmente se trovano Usate ! ! !,http://www.porschemania.it/discus/messages/492693/707233.html?1410962465,2014-09-15 14:17:00,matteopilotto,,come da titolo..... http://cerca.automobile.it/auto-inserzioni/porsche-997-gt-3-rs-4-0-rosdorf/19914 5292.html ? useCase=SearchSession&__lp=2&scopeId=C&sortOption.sortBy=creationTime& sortOption.sortOrder=DESCENDING&makeModelVariant1.makeId=20100&makeModelVariant1 .modelId=17&makeModelVariant1.modelDescription=gt3+rs&makeModelVariant1.searchIn Freetext=false&makeModelVariant2.searchInFreetext=false&makeModelVariant3.search InFreetext=false&siteId=ITALY&negativeFeatures=EXPORT&lang=it&pageNumber=1 ma che il prezzo sia ( Interessante ) ! ! ! http://cerca.automobile.it/auto-inserzioni/porsche-997-gt3-rs-4-0-monaco/1992614 58.html ? useCase=SearchSession&__lp=2&scopeId=C&sortOption.sortBy=creationTime&so rtOption.sortOrder=DESCENDING&makeModelVariant1.makeId=20100&makeModelVariant1.m odelId=17&makeModelVariant1.modelDescription=gt3+rs&makeModelVariant1.searchInFr eetext=false&makeModelVariant2.searchInFreetext=false&makeModelVariant3.searchIn Freetext=false&siteId=ITALY&negativeFeatures=EXPORT&lang=it&pageNumber=1 ( Messaggio modificato da matteopilotto il 15 settembre 2014 ) ,,,,,,,,,,,,,,
Cavo di collegamento navigatore non disponibile come ricambio,https://forum.quattroruote.it/threads/cavo-di-collegamento-navigatore-non-disponibile-come-ricambio.117962/,2018-08-15 00:00:00,rbm.bruno@gmail.com,,"Veramente il problema non sta nel costo l' assicurazione c'è non speculo sicuramente su questo. La mia amarezza sta nel fatto che in più di due mesi dall' ordine del pezzo di ricambio nulla si profila all' orizzonte. Per quello che riguarda la scarsa richiesta semmai è il contrario il navigatore della Dacia a detta dei concessionari e dei Carabinieri dove ho fatto la denuncia è molto rubato. La cosa l' ho verificata personalmente ogni officina autorizzata che ho visitato aveva almeno una se non due vetture smontate in attesa del ricambio e a giudicare dalla polvere che avevano addosso non da poco tempo. A Torino e non solo siamo in tanti in questa situazione basta fare una semplice ricerca "" furto di navigatori "" e si vede di cosa sto parlando. Tornando in merito il problema non è il navigatore in se è stato il primo pezzo che è arrivato in officina. Vista la scarsa qualità anche se LG avrei voluto installarne uno diverso ma l' assicurazione e l' assistenza Renault non accettano che i ricambi non siano quelli originali e ci mancherebbe. Un navigatore compatibile on line costa meno della metà e fa più cose senza contare che si può montare uno di quelli con lo schermo che ruota alzando il punto di lettura che in originale è posto in una posizione infame. Io lavoro in ambito progettuale ed ergonomico non capisco come l' abbiano potuto pensare e poi omologare in quella posizione distraente e influenzata da tutti i riflessi di questo mondo. Tornando in merito due : il cavo questo benedetto cavo non è possibile che non si trovi avete dei problemi perché il terzista non sta dietro alle richieste ? Cercatene un altro che possa dargli una mano. Non è possibile ? Mettete a disposizione le caratteristiche del cablaggio e me lo faccio io e mentre che ci sono ne faccio 1000 e lo vendo alle officine Renault che lo aspettano dalla sig.ra Renault. Grazie per la pazienza. ",,,,,,,,,,,,,,
aiutiamolo,https://forum.quattroruote.it/threads/aiutiamolo.30479/,2010-05-24 00:00:00,domenico11031955,,forse non hai capito che da alcuni anni sono in pensione per questo modello mi affido a quello che leggo e credimi a quello che leggo si parla d'impianto a gpl montato di serie ? a me risulta montato in Italia dalla BRC....Spero Roby che hai avuto modo di provarla....se non avrebbe fatto delle migliorie su queste vetture avrebbe......Io preferisco Subaru..ma ognuno ha i suoi gusti e non posso parlare male di modelli che personalmente non ho provato..... Ecco la nuova Mitsubishi Lancer Sportback Scritto Venerdì 31 Luglio 2009 da Ilaria Macchi .......................Dal punto di vista meccanico un difetto è dato invece dal motore che in alcuni frangenti è un po ? troppo rumoroso ma è comunque ottima la tenuta di strada e con essa l ? impianto frenante. plancia povera... a te interessano i nuovi modelli ( io ho sempre parlato di modelli che io ho guidato personalmente ) la data che parli del 2000 sono gli inizi dei richiami delle auto difettose e non se ne voleva parlare. cordialmente ,,,,,,,,,,,,,,
Maserati Ghibli 2013,https://www.autopareri.com/forums/topic/51327-maserati-ghibli-2013?&page=78#comments,2013-06-03 16:01:21,Cosimo,,giuro non ti ho seguito.. a ) Porsche non era segmento F fino a questa mattina ? Panamera diesel costerà di più ma ha più o meno la stessa potenza della base e dimensioni/abitabilità non troppo distanti C ) Perfettamente d'accordo D ) Al solito dai per scontato prezzi virtuali perchè non sappiamo nulla di preciso. Un Bmw 525 accessoriato bene potrebbe costare come una ghibli una ghibli con i sedili in pelle umana potrebbe costare come una panamera. Una panamera con certi accessori potrebbe costare come una Bentley Non volermene ma mi dai l'impressione che per surrogare alcune tue opinioni confondi ipotesi con dati certi A me basta che abbiano tirato fuori un buon prodotto e che lo curino il blasone imho c'è ancora imho non vedo perchè un potenziale cliente debba farsi millemila seghe mentali per capire se è posizionata sopra sotto a destra o sinistra di una crucca premium.. piace ? bene non piace ? si compra altro.. imho facile Poi per il resto niente da dire: alcune lacune che hai esposto credo siano piuttosto evidenti ma la concorrenza peraltro molto variegata ha anche lei ,,,,,,,,,,,,,,
Mondiale F.1 - GP del Belgio 2018,https://forum.quattroruote.it/threads/mondiale-f-1-gp-del-belgio-2018.118009/page-2,2018-08-21 00:00:00,mani in alto,,E pensare che Vettel sul bagnato era forte forse le ferrari sono un pò ostiche da guidare quando la trazione é meno del solito magari la causa é il motore più agressivo. ,,,,,,,,,,,,,,
LEXUS se ci sei batti un colpo...,https://forum.quattroruote.it/threads/lexus-se-ci-sei-batti-un-colpo.24270/,2010-02-21 00:00:00,benassistefano,,Avete qualche sentore che Lexus esista ? La mia sensazione è che non stiano investendo un euro in messaggi pubblicitari e che le vendite vadano di conseguenza. Io sono in attesa della nuova GS ma esisterà ancora Lexus in Italia quando la nuova GS nascerà ? Buona Lexus a tutti. ,,,,,,,,,,,,,,
sz,https://www.autopareri.com/forums/topic/14478-sz,2005-07-26 23:21:21,TONI,,secondo me Zagato e' il giusto anello di congiunzione tra la sportivetta anni 60 e la sua erede per i nostri anni sarebbe bello le fosse affidato il design per una gamma di coupe' Alfa/Lancia/Fiat che faccia rinverdire il mito di tali marchi ,,,,,,,,,,,,,,
Salvatela o vendetela,https://forum.quattroruote.it/threads/salvatela-o-vendetela.119957/page-40,2019-01-30 00:00:00,arizona77,"""Ver pero' Alfa e' un marchio alla portata di molti. Non vedo assolutamente la stessa passione nelle room Aud Bmw o Mercedes !!""",Se voi per primi dite che le Alfa ( vere ) sono Giulia e Stelvio.... Direi che il cerchio di possibili acquirenti si restringe.... Gli altri Forum: mai visto Skoda.... ? ? ,,,,,,,,,,,,,,
Un anno con la Kia Niro plugin,https://www.forumelettrico.it/forum/topic5605.html?sid=9b3d6660a00250109c0902db2fb0b90b,2019-05-12 17:44:00,CBR600F2013,"""andrea.ceria S hai ragione per il prezzo della benzin l'ho fatto di proposito per penalizzare un pò la stima.CBR600F2013 Come dici tu cambia solo il vestit le auto sono identich anche sulla mia viene visualizzata la S in Sport. E' una modalità che uso veramente poco (per pigrizi è così comodo il cambio automatico!).Devo dire però ch anche se viene visualizzata la marci mi sembra di aver notato ch accelerand se non cambi tu con il sequenziale lo fa da sola in automatico.Mi riprometto di verificare alla prima occasione e ti farò sapere.""",Ciao no quello che ti ho descritto è un problema di tutte le ioniq plug in e quindi probabile anche niro il fatto che in sequenziale ti cambia da sola lo stesso e perché evita di andare fuori giri la modalità s intermedia viene meno a batteria scarica le versioni ibride pure di ioniq e niro non hanno questo problema perché la batteria non si scarica,,,,,,,,,,,,,,
Dibattito Alfa Romeo,https://www.autopareri.com/forums/topic/12155-dibattito-alfa-romeo?&page=36#comments,2005-04-01 13:29:11,Betha23,,Se volevano vendere tutto l'avrebbero pututo fare tempo fa.... o anche alla Gm......... il resto è fantapolitica...... ,,,,,,,,,,,,,,
NUOVA Golf 75 .... cosa  NON ti daranno piu !  medita....,https://forum.quattroruote.it/threads/nuova-golf-7-5-cosa-non-ti-daranno-piu-medita.114602/page-2,2018-02-02 00:00:00,enry1,,"alcuni dicono che i ""fine serie"" li snelliscono appunto facendo sparire alcune cose .... In una foto italiana nel cofano motore appare il copri motore in plastica con lo stemma VW nella mia ovviamente ce il solo plasticone nero ma nessun stemma ovvio :- ( Dietro stanno risparmiando anche sulle varie scritte della motorizzazione ( TSI TDI ecc. ) c'e la sola scritta GOLF a sinistra .... e basta ! ",,,,,,,,,,,,,,
116i rimappare in garanzia o no?,https://www.bmwpassion.com/forum/threads/116i-rimappare-in-garanzia-o-no.340802/,2005-01-31 00:00:00,Mauretto,'Ah ok scusa! Quindi tu sconsigli?',Ciao ! Ho letto precenti post ma volevo sentirmelo dire chiaramente se rimappo ( 2 mesi di macchina ) invalido la garanzia ? Cosa consigliate ? Grazie ,,,,,,,,,,,,,,
Eurosuperstars: deludente nuova RS4,https://www.bmwpassion.com/forum/threads/eurosuperstars-deludente-nuova-rs4.23638/,2004-05-29 00:00:00,akenzo,,http://www.eurosuperstars.com/news01.asp ? codice=156http://www.eurosuperstars.com/risultati_gara.asp ? codice=1 ,,,,,,,,,,,,,,
Prospetto percorrenza delle Ns. Skoda,https://forum.quattroruote.it/threads/prospetto-percorrenza-delle-ns-skoda.11785/page-12,2009-12-01 00:00:00,octavio_fsi,"""SPESSOPEDALO............................... Fabia 1.9 Tdi SW 10/01---------203.000 km NENE1976............................Octavia SW 0 DSG '06 ---------- Km 171.000 VALLE.FRANCESCO....................Octavia 1.9 tdi sw 110cv 11/01-------160.000 km TISIAN......................................Octavia 1.6 SW Ambiente 02/02--------150.000 km MARCKBONA................... ..............Fabia sw 1.9 tdi 09/03------------148.000 Km KAKANIAFELIX-------------------------Fabia 1.4 TDI Confort 11/03 ---------144.955 ERMES0569---------------------------Fabia sw 1.9 TDI Elegance 03/05-------------136.000Km ROSBERG-----------------------------Octavia vRS 2.0 TDI 05/07 ------------------125.100 Km PEPPE77--------------------------Octavia 1.9 Tdi Eleg. 06/05----------------125000km VIIVALDI------------------------- ------Octavia 1.9 Tdi 09/2006-----------120.000 Km BIGFAB--------------------------------Fabia Wagon 1.9Tdi 02/05--------------------120.000 Km OCTAVIO_FSI---------Octavia 1.6 16v FSI Cambio Automatico 5/05------118800Km PINUSDEPINUS---------------------Fabia 1.9 TDI 101 CV 06/01-----------------115.000 km BENEDETTORUBINO----------------Octavia 1.9Tdi 01/05------------------------105.000 Km GIOGOTTI1967............................Octavia 1.9 TDI/105 Eleg.--------------105.000 kM. FEDEMADDO-------------------------Felicia 1.3 lx comfort 11/99------------------101.200 MIKI15 --------------------------------Octavia s.w 2.0 TDI 09/07-----------------------96.000 km 626sw----------------------------octavia wagon 1.9tdiDSG 12/07-------------------------- 93.000 km ANDREA86BG------------------------Fabia 1.4 Tdi 03/05------------------------------89.000 km MCRISCUO---------------------------Fabia wagon 1.4 TDI 07/05---------------------88.000 km MINMIL--------------------------------Octavia 1.9TDI-DSG_04/08-----------------------88.000 km GUGLIELMO_83-1--------------Fabia 1.9 TDI 101 cv 5p Elegance 06/04-----83.000 Km EXTREME----------------------------Octavia vRs Sw 170 cv 6/07--------------------82.500 Km PMARCHETT (moglie).................Felicia 1.3 GLXi 06/99-----------------------82.000 km PMARCHETT................................Octavia RS TDI 2.0 01/07 -------------- 72.000 km SPENDIPOK------------------------------Octavia 1.6MPI GPL 10/05 ----------------------------70000km RENATO415..................................Octavia 1.4 GPL 07/07---------------- 65.000 Km. SKODONE-----------------------------Octavia sw Vrs TDI 01/07 --------------------65.000KM IL_CHICCO_SHOW.....................Octavia sw 2.0 TDI 10/06---------------- 64.000 Km 5OO------------------------------------Octavia sw 2.0 TDI 10/06-------------------- 61.000 Km LEGENDTT....................................Octavia sw 2.0 tdi 02/06---------------60.000 km BRAG----------------------------------Octavia 2.0 tdi sw 01/2008 -------------------59.000 km ANDYGAS-----------------------------Octavia SW TDI VRS 01/08 56000 km PINUZZO76--------------------------Octavia 1.9 tdi 105 eleg. 08/06 ----------------53.300 km T66 ---------------------------------Octavia sw tdi 1.9 DSG 105 CV 08/2006 - 52.000 km BRONZO1960-------------------------Octavia W. 1.9 Tdi 105cv DSG -----------50.600Km MARSCLAF---------------------------Octavia 1.9 tdi 105 sw eleg. 01/08-------- 48.500 km. TEOLINO------------------------------Octavia 2.0 Tdi RS 10/07---------------------- 45.000 Km MANUEL76----------------------------Octavia II vRS 2.0 TDI 01/07 -----------------43.000km KEK77..........................................Octavia RS TDI FAP 10/07-------------40.000km DOMINGO19-------------------------Octavia RS TDI 2.0 01/08 ----------------------36.000 km IVANPG -------------------------------Octavia 1.9 Tdi 09/07 ----------------------------37.000 Km GIUCOS20...................................Octavia 1.9 Tdi 07/07--------------------- 36.000 km OCTAVIALK.............................Octavia 2.0 TDI DSG L&K 01/08-----------35.000 km PRODUTTORE--------------------Superb 2.0TDI/DSG 140HP 07/08-------------33.000 km NITRO1990GE-----------------------Fabia 1.4 16V 101cv Confort 05/00--------- 29.000 km MIRANDA453------------------------Octavia S.W. vRS 2.0 Tfsi 05/07------------ 28.500 Km GUGLIELMO_83-2----------Fabia 1.4 16v 75cv wagon Comfort 11/05------- 25000 Km RADIO1983---------------------------Fabia 1.2 70cv gpline 04/08 -------------------23.000km GIANKO1982---------------------Octavia 1.6 GpLine Ambiente berlina 10/08----------23000 km MIRANDA453 (moglie)-----------------Fabia 1.4 td 80 cv 01/08----------------- 20.000 km KODONE---------------------------- -------Octavia 1.9 td 105cv 4x4 11/08------------19.500 km ILLEPRO-------------------------------Octavia SW vRS TDI 01/08-------------------- 19.000 km TEXPAD-------------------------------Octavia 1.9 tdi Road 02/09----------------------18.500 Km DREAMINGOCTAVIA--------------------Fabia Combi II 1.9 TDI-PD Elegance 06/08----16.000 km PCASSONE---------------------------Fabia 1.2 70CV Style Wagon 07/08-------15.000 Km VRS-2009----------------------------Octavia Vrs 2.0 TSI 03/09-----------------------13.500 km DOMINGO19(MOGLIE)------------Fabia 1.9 tdi comfort 05/09--------------------10.000 km VANNI.390--------------------------- Superb1800dsg tsi 02/09------------------------9.400km GELTRUDEFROSCHIO--------------Octavia1.9Tdi105cvROAD 08/08----------9.200 Km TINFED---------------------------------Octavia 2.0 TDI DSG 06/09-------------------- 8.200 km AGUSMAG-----------------------------Octavia 1.4 TSI DSG 07/09------------------- 7.400 Km GASATO70--------------------------Octavia 1.6 sw ambition GPL 04/09-----------7000 km WILLY71--------------Octavia sw 1.9 TDI Road 03/'09------------------------6.700Km THROMASS---------------------------Octavia 2.0TDI Scout 05/09--------------------5.200 Km GBORTOLO---------------------------Fabia 1.2 70CV Style 04/09 ------------------ 5.200 Km DOBY65-----------------------------Octavia 1.9 TDI FAP 105CV Eleg. 06/09----------4.000 kM. NAMA68------------------------------Octavia 1.6 Tdi C.R. 105 cv 09/09 ----------------2100Km MARCOTEX---------------------------Octavia 1.4 TSI DSG 07/09----------------------1.900Km ERMES0569---------------------------Octavia 1.6 TDI CR Ambition 11/09-------------300Km SID25------------------------------YETI TSI 160cv 4x4 Experience ------------------------ 57 km [OCTAVIO_FSI]-------------OCTAVIA 6 FSI 16V CAMBIO AUTOMATICO 5/05-----119000KM""",,,,,,,,,,,,,,,
L'offensiva AMG del 2006,https://www.bmwpassion.com/forum/threads/loffensiva-amg-del-2006.18686/,2004-06-10 00:00:00,DESHI BASARA,"""L'articolo di Auto Motor und Sport sulla prossima Classe E contiene una chicca sul blitzkrieg che AMG sta preparando per il 200 con il lancio di almeno 4 nuove pompatissime Mercedes: S 65 AMG (V12 da 612 cv CLK 63 AMG (482 cv E 63 AMG (515 cv) e CLS 63 AMG (515 cv). Mi chiedo come mai Auto Motor und Sport lasci fuori dal conto le varie S e GL 63 AMG ... Nell'articolo c'è anche una triste notizia per i fan del tuner officiale Mercedes: Il motore V8 6.3 M156 sviluppato interamente dalla divisione AMG non avrà seguiti. Troppo costoso lo svilupp troppo piccolo il mercato potenzial troppo costoso svilupparne una versione turbo-compressa. http://www.autoblog.it/post/2301/loffensiva-amg-del-2006""",L'articolo di Auto Motor und Sport sulla prossima Classe E contiene una chicca sul blitzkrieg che AMG sta preparando per il 2006 con il lancio di almeno 4 nuove pompatissime Mercedes: S 65 AMG ( V12 da 612 cv ) CLK 63 AMG ( 482 cv ) E 63 AMG ( 515 cv ) e CLS 63 AMG ( 515 cv ) . Mi chiedo come mai Auto Motor und Sport lasci fuori dal conto le varie R S e GL 63 AMG ... Nell'articolo c'è anche una triste notizia per i fan del tuner officiale Mercedes: Il motore V8 6.3 M156 sviluppato interamente dalla divisione AMG non avrà seguiti. Troppo costoso lo sviluppo troppo piccolo il mercato potenziale troppo costoso svilupparne una versione turbo-compressa. http://www.autoblog.it/post/2301/loffensiva-amg-del-2006 ,,,,,,,,,,,,,,
Salvatela o vendetela,https://forum.quattroruote.it/threads/salvatela-o-vendetela.119957/page-7,2018-12-28 00:00:00,ubaldo94,,io avevo capito che Giulia avrebbe generato cassa per i modelli successivi non credo che senza quella cassa la proprietà voglia spendere altri soldi ( inutilmente ? ? ) . Se avessi capito male i proclami di Marchionne chiedo scusa ,,,,,,,,,,,,,,
